Graph_ID,Matched_Count,Mismatched_Count,Classification
graph_274,4032,1008,2
graph_275,5040,0,1
graph_98,5040,0,1
graph_99,5040,0,1
graph_188,5040,0,1
graph_189,5040,0,1
graph_720,5040,0,1
graph_546,5040,0,1
graph_547,5040,0,1
graph_721,5040,0,1
graph_944,2520,2520,2
graph_945,5040,0,1
graph_1017,5040,0,1
graph_1016,3780,1260,2
graph_628,5040,0,1
graph_629,2520,2520,2
graph_769,5040,0,1
graph_768,4032,1008,2
graph_805,5040,0,1
graph_495,5040,0,1
graph_804,5040,0,1
graph_494,3360,1680,2
graph_43,5040,0,1
graph_407,5040,0,1
graph_897,5040,0,1
graph_661,5040,0,1
graph_660,5040,0,1
graph_42,5040,0,1
graph_406,5040,0,1
graph_896,5040,0,1
graph_335,5040,0,1
graph_153,5040,0,1
graph_152,5040,0,1
graph_334,5040,0,1
graph_578,5040,0,1
graph_579,5040,0,1
graph_684,5040,0,1
graph_872,5040,0,1
graph_873,5040,0,1
graph_685,5040,0,1
graph_616,5040,0,1
graph_34,5040,0,1
graph_470,5040,0,1
graph_35,5040,0,1
graph_471,5040,0,1
graph_617,5040,0,1
graph_1029,5040,0,1
graph_1028,5040,0,1
graph_124,5040,0,1
graph_342,5040,0,1
graph_343,5040,0,1
graph_125,5040,0,1
graph_203,5040,0,1
graph_202,5040,0,1
graph_399,5040,0,1
graph_398,5040,0,1
graph_531,5040,0,1
graph_757,5040,0,1
graph_756,5040,0,1
graph_530,5040,0,1
graph_933,5040,0,1
graph_932,5040,0,1
graph_291,5040,0,1
graph_290,5040,0,1
graph_439,5040,0,1
graph_438,5040,0,1
graph_907,5040,0,1
graph_597,5040,0,1
graph_906,5040,0,1
graph_596,5040,0,1
graph_159,5040,0,1
graph_158,5040,0,1
graph_49,5040,0,1
graph_48,5040,0,1
graph_237,5040,0,1
graph_236,5040,0,1
graph_505,5040,0,1
graph_995,5040,0,1
graph_763,5040,0,1
graph_762,5040,0,1
graph_504,5040,0,1
graph_994,5040,0,1
graph_622,5040,0,1
graph_444,5040,0,1
graph_445,5040,0,1
graph_623,5040,0,1
graph_110,5040,0,1
graph_376,5040,0,1
graph_377,5040,0,1
graph_111,4032,1008,2
graph_182,5040,0,1
graph_183,5040,0,1
graph_92,5040,0,1
graph_846,5040,0,1
graph_93,5040,0,1
graph_847,5040,0,1
graph_433,5040,0,1
graph_77,5040,0,1
graph_655,5040,0,1
graph_654,5040,0,1
graph_432,5040,0,1
graph_76,5040,0,1
graph_301,5040,0,1
graph_167,5040,0,1
graph_166,5040,0,1
graph_300,5040,0,1
graph_939,5040,0,1
graph_938,5040,0,1
graph_393,5040,0,1
graph_392,5040,0,1
graph_209,5040,0,1
graph_208,5040,0,1
graph_831,5040,0,1
graph_830,5040,0,1
graph_786,5040,0,1
graph_970,5040,0,1
graph_971,5040,0,1
graph_787,5040,0,1
graph_348,5040,0,1
graph_349,5040,0,1
graph_1023,5040,0,1
graph_1022,5040,0,1
graph_878,3360,1680,2
graph_879,5040,0,1
graph_240,5040,0,1
graph_241,4032,1008,2
graph_714,5040,0,1
graph_572,5040,0,1
graph_573,5040,0,1
graph_715,5040,0,1
graph_880,5040,0,1
graph_54,5040,0,1
graph_410,5040,0,1
graph_676,5040,0,1
graph_677,5040,0,1
graph_881,5040,0,1
graph_55,5040,0,1
graph_411,5040,0,1
graph_322,5040,0,1
graph_144,5040,0,1
graph_145,5040,0,1
graph_323,5040,0,1
graph_518,5040,0,1
graph_988,5040,0,1
graph_519,5040,0,1
graph_989,5040,0,1
graph_482,5040,0,1
graph_812,5040,0,1
graph_483,5040,0,1
graph_813,4032,1008,2
graph_953,5040,0,1
graph_952,2520,2520,2
graph_459,5040,0,1
graph_458,5040,0,1
graph_1000,5040,0,1
graph_1001,5040,0,1
graph_263,5040,0,1
graph_262,5040,0,1
graph_737,5040,0,1
graph_551,5040,0,1
graph_550,5040,0,1
graph_736,5040,0,1
graph_924,5040,0,1
graph_925,5040,0,1
graph_648,5040,0,1
graph_649,5040,0,1
graph_286,5040,0,1
graph_287,5040,0,1
graph_214,5040,0,1
graph_215,5040,0,1
graph_526,5040,0,1
graph_740,5040,0,1
graph_741,5040,0,1
graph_527,5040,0,1
graph_601,5040,0,1
graph_23,5040,0,1
graph_467,5040,0,1
graph_22,5040,0,1
graph_466,5040,0,1
graph_600,5040,0,1
graph_133,5040,0,1
graph_355,5040,0,1
