Graph_ID,Matched_Count,Mismatched_Count,Classification
graph_10215,20160,20160,2
graph_10216,40320,0,1
graph_10217,40320,0,1
graph_10218,40320,0,1
graph_10219,40320,0,1
graph_1022,40320,0,1
graph_10220,40320,0,1
graph_10221,40320,0,1
graph_10222,40320,0,1
graph_10223,40320,0,1
graph_10224,40320,0,1
graph_10225,40320,0,1
graph_10226,40320,0,1
graph_10227,20160,20160,2
graph_10228,40320,0,1
graph_10229,40320,0,1
graph_1023,40320,0,1
graph_10230,40320,0,1
graph_10231,40320,0,1
graph_10232,40320,0,1
graph_10233,40320,0,1
graph_10234,40320,0,1
graph_10235,40320,0,1
graph_10236,40320,0,1
graph_10237,40320,0,1
graph_10238,40320,0,1
graph_10239,40320,0,1
graph_1024,40320,0,1
graph_10240,40320,0,1
graph_10241,40320,0,1
graph_10242,40320,0,1
graph_10243,40320,0,1
graph_10244,40320,0,1
graph_10245,40320,0,1
graph_10246,40320,0,1
graph_10247,40320,0,1
graph_10248,40320,0,1
graph_10249,40320,0,1
graph_1025,40320,0,1
graph_10250,40320,0,1
graph_10251,40320,0,1
graph_10252,40320,0,1
graph_10253,40320,0,1
graph_10254,40320,0,1
graph_10255,40320,0,1
graph_10256,40320,0,1
graph_10257,40320,0,1
graph_10258,40320,0,1
graph_10259,40320,0,1
graph_1026,40320,0,1
graph_10260,40320,0,1
graph_10261,40320,0,1
graph_10262,40320,0,1
graph_10263,40320,0,1
graph_10264,40320,0,1
graph_10265,40320,0,1
graph_10266,40320,0,1
graph_10267,40320,0,1
graph_10268,40320,0,1
graph_10269,40320,0,1
graph_1027,40320,0,1
graph_10270,40320,0,1
graph_10271,40320,0,1
graph_10272,40320,0,1
graph_10273,40320,0,1
graph_10274,20160,20160,2
graph_10275,40320,0,1
graph_10276,40320,0,1
graph_10277,40320,0,1
graph_10278,40320,0,1
graph_10279,40320,0,1
graph_1028,40320,0,1
graph_10280,0,40320,3
graph_10281,40320,0,1
graph_10282,40320,0,1
graph_10283,40320,0,1
graph_10284,40320,0,1
graph_10285,40320,0,1
graph_10286,40320,0,1
graph_10287,40320,0,1
graph_10288,40320,0,1
graph_10289,40320,0,1
graph_1029,40320,0,1
graph_10290,40320,0,1
graph_10291,40320,0,1
graph_10292,40320,0,1
graph_10293,40320,0,1
graph_10294,40320,0,1
graph_10295,40320,0,1
graph_10296,40320,0,1
graph_10297,40320,0,1
graph_10298,40320,0,1
graph_10299,40320,0,1
graph_103,40320,0,1
graph_1030,40320,0,1
graph_10300,40320,0,1
