num_nodes,removal_percent,graph_id,file_graph_id,true_mis,mis_min_degree,mis_random,mis_prob,mis_low_neighbor_prob,mis_prob_model,mis_low_neighbor_prob_model
55,50,4267,16,7,6,5.4,6,7,6,7
55,50,4268,17,7,7,5.4,7,7,5,7
55,50,4269,18,8,7,5.8,8,8,6,7
55,50,4270,19,7,7,6.2,7,7,7,7
55,50,4271,2,8,7,5.8,7,8,7,8
55,50,4272,20,8,8,6.0,8,8,8,6
55,50,4273,21,8,8,5.2,8,8,8,8
55,50,4274,22,8,6,5.8,8,8,7,7
55,50,4275,23,8,6,5.6,8,8,6,8
55,50,4276,24,7,7,5.6,7,7,6,7
55,50,4277,25,8,7,5.2,8,8,6,7
55,50,4278,26,8,7,5.8,8,8,6,6
55,50,4279,27,8,8,5.2,8,8,6,8
55,50,4280,28,7,6,4.8,7,7,7,7
55,50,4281,29,8,7,5.8,8,8,7,6
55,50,4282,3,7,7,5.4,7,7,7,7
55,50,4283,30,8,8,5.8,8,8,8,8
55,50,4284,4,8,7,5.8,8,8,6,7
55,50,4285,5,9,6,5.8,9,9,6,9
55,50,4286,6,7,7,5.6,6,7,7,6
55,50,4287,7,8,7,5.8,8,8,6,6
55,50,4288,8,8,7,5.2,8,8,7,7
55,50,4289,9,7,6,5.8,7,6,6,6
55,55,4290,1,8,7,6.2,8,7,7,8
55,55,4291,10,9,8,6.6,9,9,8,8
55,55,4292,11,10,10,6.8,10,10,10,10
55,55,4293,12,8,8,6.0,8,8,8,8
55,55,4294,13,8,8,6.2,8,8,7,7
55,55,4295,14,9,8,6.0,9,9,8,8
55,55,4296,15,9,7,5.8,9,9,7,8
55,55,4297,16,9,9,6.0,9,9,7,8
55,55,4298,17,8,8,5.8,8,8,8,8
55,55,4299,18,8,7,6.4,8,8,7,7
55,55,4300,19,9,8,6.2,9,9,8,8
55,55,4301,2,8,8,6.4,7,7,7,8
55,55,4302,20,8,6,6.2,7,8,7,7
55,55,4303,21,9,8,6.4,8,9,9,7
55,55,4304,22,9,7,6.0,9,9,7,7
55,55,4305,23,9,8,6.0,9,9,9,9
55,55,4306,24,9,8,6.6,9,9,8,8
55,55,4307,25,9,7,6.2,9,9,7,7
55,55,4308,26,9,8,5.6,7,9,6,9
55,55,4309,27,8,7,5.8,8,8,6,6
55,55,4310,28,8,8,6.4,8,8,6,8
55,55,4311,29,8,7,5.4,8,8,7,7
55,55,4312,3,9,9,6.2,9,9,9,9
55,55,4313,30,9,7,6.2,9,9,7,8
55,55,4314,4,9,7,5.6,9,9,7,8
55,55,4315,5,8,8,6.0,8,8,8,7
55,55,4316,6,8,8,6.2,8,8,8,7
55,55,4317,7,9,7,6.2,9,9,8,8
55,55,4318,8,9,7,6.8,9,9,8,8
55,55,4319,9,9,9,7.0,9,9,7,9
55,60,4320,1,9,8,6.4,9,9,7,8
55,60,4321,10,9,9,7.0,8,9,8,8
55,60,4322,11,9,8,7.0,9,9,7,9
55,60,4323,12,10,10,6.6,10,10,8,10
55,60,4324,13,9,9,6.2,9,9,8,9
55,60,4325,14,10,10,6.8,10,10,10,10
55,60,4326,15,9,9,6.6,8,9,8,9
55,60,4327,16,10,8,6.6,10,10,8,8
55,60,4328,17,9,8,7.0,9,9,8,9
55,60,4329,18,10,9,7.2,10,10,8,9
55,60,4330,19,10,9,6.6,10,10,8,8
55,60,4331,2,10,10,6.6,10,10,10,10
55,60,4332,20,9,8,7.8,9,9,9,9
55,60,4333,21,11,10,6.4,11,11,10,10
55,60,4334,22,9,9,7.0,9,9,8,9
55,60,4335,23,9,8,7.8,9,9,8,9
55,60,4336,24,10,9,7.4,10,10,10,10
55,60,4337,25,9,9,7.0,9,9,8,9
55,60,4338,26,9,8,6.6,8,9,7,9
55,60,4339,27,9,9,6.8,9,9,9,9
55,60,4340,28,10,9,6.2,10,10,7,9
55,60,4341,29,9,9,7.4,7,9,7,8
55,60,4342,3,10,9,7.0,9,10,8,9
55,60,4343,30,10,10,7.0,10,10,8,9
55,60,4344,4,9,9,7.6,9,9,9,9
55,60,4345,5,9,8,6.8,9,9,7,8
55,60,4346,6,9,8,7.2,6,9,8,8
55,60,4347,7,11,10,7.0,11,11,7,7
55,60,4348,8,8,8,6.4,7,8,7,8
55,60,4349,9,10,9,6.4,10,10,8,8
55,65,4350,1,10,9,8.0,10,10,8,8
55,65,4351,10,11,9,8.4,11,11,8,9
55,65,4352,11,10,9,7.2,9,10,9,10
55,65,4353,12,10,9,7.8,9,10,9,9
55,65,4354,13,11,10,8.0,11,11,9,11
55,65,4355,14,11,11,7.6,11,11,10,11
55,65,4356,15,10,8,7.8,10,10,9,9
55,65,4357,16,11,11,8.4,11,11,9,11
55,65,4358,17,11,11,8.0,10,11,9,10
55,65,4359,18,10,10,8.0,10,10,8,9
55,65,4360,19,11,11,8.4,11,11,9,11
55,65,4361,2,11,11,8.0,11,11,9,11
55,65,4362,20,11,10,7.6,11,11,8,8
55,65,4363,21,10,10,7.6,10,10,9,10
55,65,4364,22,10,9,7.4,9,10,10,10
55,65,4365,23,10,10,7.2,10,10,9,9
55,65,4366,24,11,10,8.2,11,11,9,10
55,65,4367,25,10,10,7.2,10,10,10,10
55,65,4368,26,11,10,7.8,11,11,10,8
55,65,4369,27,10,8,6.8,8,10,7,9
55,65,4370,28,10,10,7.8,10,10,9,9
55,65,4371,29,11,10,7.6,11,11,9,11
55,65,4372,3,10,10,8.0,10,10,9,10
55,65,4373,30,11,10,7.2,11,11,11,11
55,65,4374,4,11,9,7.8,11,11,9,10
55,65,4375,5,11,10,7.8,11,11,11,11
55,65,4376,6,12,10,7.6,12,12,11,11
55,65,4377,7,11,10,7.0,11,11,10,10
55,65,4378,8,10,10,7.2,10,10,9,9
55,65,4379,9,11,11,8.2,11,11,9,11
55,70,4380,1,12,12,7.6,12,12,10,10
55,70,4381,10,11,10,8.4,11,11,11,11
55,70,4382,11,12,10,8.6,12,12,10,10
55,70,4383,12,12,12,8.8,12,12,11,11
55,70,4384,13,13,13,9.8,13,13,11,13
55,70,4385,14,12,12,9.8,12,12,12,12
55,70,4386,15,13,12,8.8,13,13,11,11
55,70,4387,16,13,13,8.2,13,13,13,13
55,70,4388,17,13,11,9.4,13,13,11,12
55,70,4389,18,12,12,8.8,12,12,12,12
55,70,4390,19,12,11,9.4,12,12,11,11
55,70,4391,2,12,12,9.2,11,12,11,11
55,70,4392,20,13,11,8.6,13,13,13,13
55,70,4393,21,13,11,9.0,13,13,13,13
55,70,4394,22,12,12,8.8,12,12,11,12
55,70,4395,23,12,12,9.8,12,12,12,12
55,70,4396,24,11,11,8.6,8,10,9,10
55,70,4397,25,14,12,8.6,14,14,12,14
55,70,4398,26,11,11,8.6,11,11,10,10
55,70,4399,27,12,12,8.6,12,12,9,12
55,70,4400,28,12,11,8.6,12,12,9,11
55,70,4401,29,11,11,8.2,11,11,11,11
55,70,4402,3,12,12,8.2,12,12,11,12
55,70,4403,30,12,12,8.8,12,12,11,12
55,70,4404,4,11,11,9.0,10,11,9,11
55,70,4405,5,12,11,9.0,12,12,10,12
55,70,4406,6,12,10,9.4,12,12,9,10
55,70,4407,7,12,11,9.0,12,12,11,11
55,70,4408,8,13,10,8.0,13,13,12,13
55,70,4409,9,13,13,10.2,13,13,13,13
55,75,4410,1,14,12,9.8,14,14,10,11
55,75,4411,10,13,12,9.0,13,13,12,12
55,75,4412,11,13,11,10.4,13,13,12,13
55,75,4413,12,14,14,11.0,14,14,13,14
55,75,4414,13,13,13,10.8,13,13,12,13
55,75,4415,14,13,13,9.8,13,13,11,12
55,75,4416,15,13,11,9.8,12,13,11,12
55,75,4417,16,14,12,10.6,14,14,12,13
55,75,4418,17,13,13,10.2,13,13,12,12
55,75,4419,18,13,13,9.8,13,13,12,13
55,75,4420,19,13,12,9.2,12,13,10,11
55,75,4421,2,13,13,10.6,13,13,13,13
55,75,4422,20,13,13,10.6,12,13,12,13
55,75,4423,21,13,12,10.8,13,13,12,12
55,75,4424,22,13,13,10.2,13,13,11,12
55,75,4425,23,13,13,10.2,13,13,11,12
55,75,4426,24,14,13,9.6,14,14,12,12
55,75,4427,25,13,13,9.4,13,13,11,12
55,75,4428,26,13,13,9.6,13,13,12,12
55,75,4429,27,15,15,10.2,15,15,10,11
55,75,4430,28,13,13,10.2,13,13,11,13
55,75,4431,29,14,13,10.8,14,14,13,13
