threshold,tn,fp,fn,tp,precision,recall,f1,accuracy
0.0,0,129699,0,104301,0.4457307692307692,1.0,0.616616563356301,0.4457307692307692
0.05,3084,126615,214,104087,0.45117510901509306,0.9979482459420331,0.6214093605131894,0.4579957264957265
0.1,7937,121762,896,103405,0.4592369219290571,0.991409478336737,0.6277089125499289,0.4758205128205128
0.15,14439,115260,2088,102213,0.4700031728076589,0.9799810164811459,0.635309254321356,0.49851282051282053
0.2,22550,107149,3895,100406,0.48375611283756115,0.9626561586178465,0.643925401467344,0.5254529914529914
0.25,32880,96819,6575,97726,0.5023310802128043,0.9369612947143364,0.6540224731132422,0.5581452991452992
0.3,45688,84011,10631,93670,0.5271807340120779,0.8980738439708152,0.6643686476441759,0.5955470085470086
0.35,60290,69409,16250,88051,0.5591959862822304,0.8442009184955082,0.6727587379326944,0.6339358974358974
0.4,75329,54370,23893,80408,0.5965958836011812,0.7709226181915801,0.6726479531870219,0.6655427350427351
0.45,89076,40623,33317,70984,0.6360174541023412,0.6805687385547597,0.6575393223039443,0.684017094017094
0.5,100329,29370,42875,61426,0.6765276003348165,0.5889301157227639,0.6296970225067531,0.6912606837606837
0.55,108837,20862,52505,51796,0.7128740124969033,0.49660118311425583,0.5854011381167389,0.6864658119658119
0.6,115117,14582,61323,42978,0.7466643502432244,0.41205741076307995,0.53104824509919,0.6756196581196581
0.65,119789,9910,69153,35148,0.7800612543832394,0.3369862225673771,0.47065124967360517,0.6621239316239316
0.7,123200,6499,76118,28183,0.8126117294273687,0.2702083393256057,0.4055603922781923,0.6469358974358974
0.75,125613,4086,82656,21645,0.8412032179083596,0.2075243765639831,0.3329180509413068,0.6293076923076923
0.8,127364,2335,88207,16094,0.8732975202127082,0.1543034103220487,0.26226676444227165,0.613068376068376
0.85,128580,1119,93445,10856,0.9065553235908141,0.10408337408078541,0.18672812962262203,0.5958803418803419
0.9,129300,399,98124,6177,0.9393248175182481,0.05922282624327667,0.1114207635487973,0.5789615384615384
0.95,129626,73,102416,1885,0.9627170582226762,0.01807269345452105,0.035479347631730024,0.5620128205128205
1.0,129699,0,104301,0,0.0,0.0,0.0,0.5542692307692307
