graph_name,vanilla_greedy_mis_size,augmented_greedy_mis_size
graph_26.edgelist,5,5
graph_260.edgelist,3,3
graph_261.edgelist,4,4
graph_262.edgelist,3,3
graph_263.edgelist,4,4
graph_264.edgelist,4,4
graph_265.edgelist,4,4
graph_266.edgelist,4,4
graph_267.edgelist,3,3
graph_268.edgelist,3,3
graph_269.edgelist,4,4
graph_27.edgelist,4,4
graph_270.edgelist,4,4
graph_271.edgelist,3,3
graph_272.edgelist,4,4
graph_273.edgelist,4,4
graph_274.edgelist,4,4
graph_275.edgelist,3,3
graph_276.edgelist,4,4
graph_277.edgelist,4,4
graph_278.edgelist,4,4
graph_279.edgelist,3,3
graph_28.edgelist,4,4
graph_280.edgelist,4,4
graph_281.edgelist,3,3
graph_282.edgelist,3,3
graph_283.edgelist,3,3
graph_284.edgelist,3,3
graph_285.edgelist,4,4
graph_286.edgelist,4,4
graph_287.edgelist,4,4
graph_288.edgelist,4,4
graph_289.edgelist,4,4
graph_29.edgelist,5,5
graph_290.edgelist,4,4
graph_291.edgelist,4,4
graph_292.edgelist,4,4
graph_293.edgelist,3,3
graph_294.edgelist,3,3
graph_295.edgelist,4,4
graph_296.edgelist,4,4
graph_297.edgelist,4,4
graph_298.edgelist,3,3
graph_299.edgelist,3,3
graph_3.edgelist,5,5
graph_30.edgelist,5,5
graph_300.edgelist,4,4
graph_301.edgelist,4,4
graph_302.edgelist,3,3
graph_303.edgelist,3,3
graph_304.edgelist,4,4
graph_305.edgelist,4,4
graph_306.edgelist,4,4
graph_307.edgelist,4,4
graph_308.edgelist,4,4
graph_309.edgelist,4,4
graph_31.edgelist,4,4
graph_310.edgelist,4,4
graph_311.edgelist,3,3
graph_312.edgelist,3,3
graph_313.edgelist,4,4
graph_314.edgelist,3,3
graph_315.edgelist,3,3
graph_316.edgelist,3,3
graph_317.edgelist,4,4
graph_318.edgelist,3,3
graph_319.edgelist,4,4
graph_32.edgelist,5,5
graph_320.edgelist,3,3
graph_321.edgelist,3,3
graph_322.edgelist,3,3
graph_323.edgelist,3,3
graph_324.edgelist,3,3
graph_325.edgelist,3,3
graph_326.edgelist,4,4
graph_327.edgelist,3,3
graph_328.edgelist,3,3
graph_329.edgelist,3,3
graph_33.edgelist,4,4
graph_330.edgelist,3,3
graph_331.edgelist,3,3
graph_332.edgelist,3,3
graph_333.edgelist,4,4
graph_334.edgelist,4,4
graph_335.edgelist,3,3
graph_336.edgelist,3,3
graph_337.edgelist,3,3
graph_338.edgelist,4,4
graph_339.edgelist,4,4
graph_34.edgelist,4,4
graph_340.edgelist,3,3
graph_341.edgelist,4,4
graph_342.edgelist,3,3
graph_343.edgelist,3,3
graph_344.edgelist,3,3
graph_345.edgelist,3,3
graph_346.edgelist,3,3
graph_347.edgelist,3,3
graph_348.edgelist,3,3
graph_349.edgelist,3,3
graph_35.edgelist,4,4
graph_350.edgelist,3,3
graph_351.edgelist,4,4
graph_352.edgelist,3,3
graph_353.edgelist,3,3
graph_354.edgelist,4,4
graph_355.edgelist,4,4
graph_356.edgelist,2,2
graph_357.edgelist,3,3
graph_358.edgelist,3,3
graph_359.edgelist,3,3
graph_36.edgelist,3,3
graph_360.edgelist,3,3
graph_361.edgelist,3,3
graph_362.edgelist,3,3
graph_363.edgelist,3,3
graph_364.edgelist,3,3
graph_365.edgelist,4,4
graph_366.edgelist,3,3
graph_367.edgelist,3,3
graph_368.edgelist,3,3
graph_369.edgelist,3,3
graph_37.edgelist,4,4
graph_370.edgelist,3,3
graph_371.edgelist,4,4
graph_372.edgelist,3,3
graph_373.edgelist,4,4
graph_374.edgelist,5,5
graph_375.edgelist,4,4
graph_376.edgelist,4,4
graph_377.edgelist,4,4
graph_378.edgelist,3,3
graph_379.edgelist,4,4
graph_38.edgelist,4,4
graph_380.edgelist,4,4
graph_381.edgelist,3,3
graph_382.edgelist,4,4
graph_383.edgelist,4,4
graph_384.edgelist,4,4
graph_385.edgelist,4,4
graph_386.edgelist,4,4
graph_387.edgelist,4,4
graph_388.edgelist,5,5
graph_389.edgelist,4,4
graph_39.edgelist,4,4
graph_390.edgelist,4,4
graph_391.edgelist,4,4
graph_392.edgelist,4,4
graph_393.edgelist,3,3
graph_394.edgelist,4,4
graph_395.edgelist,3,3
graph_396.edgelist,4,4
graph_397.edgelist,4,4
graph_398.edgelist,3,3
graph_399.edgelist,3,3
graph_4.edgelist,6,6
graph_40.edgelist,6,6
graph_400.edgelist,4,4
graph_401.edgelist,4,4
graph_402.edgelist,3,3
graph_403.edgelist,3,3
graph_404.edgelist,3,3
graph_405.edgelist,3,3
