graph_name,vanilla_greedy_mis_size,augmented_greedy_mis_size
graph_946.edgelist,3,3
graph_947.edgelist,2,2
graph_948.edgelist,2,2
graph_949.edgelist,2,2
graph_95.edgelist,4,4
graph_950.edgelist,3,3
graph_951.edgelist,2,2
graph_952.edgelist,3,3
graph_953.edgelist,3,3
graph_954.edgelist,2,2
graph_955.edgelist,3,3
graph_956.edgelist,2,2
graph_957.edgelist,2,2
graph_958.edgelist,3,3
graph_959.edgelist,3,3
graph_96.edgelist,5,5
graph_960.edgelist,2,2
graph_961.edgelist,2,2
graph_962.edgelist,2,2
graph_963.edgelist,4,4
graph_964.edgelist,3,3
graph_965.edgelist,3,3
graph_966.edgelist,2,2
graph_967.edgelist,3,3
graph_968.edgelist,3,3
graph_969.edgelist,3,3
graph_97.edgelist,4,4
graph_970.edgelist,3,3
graph_971.edgelist,2,2
graph_972.edgelist,3,3
graph_973.edgelist,3,3
graph_974.edgelist,2,2
graph_975.edgelist,2,2
graph_976.edgelist,3,3
graph_977.edgelist,3,3
graph_978.edgelist,3,3
graph_979.edgelist,2,2
graph_98.edgelist,4,4
graph_980.edgelist,3,3
graph_981.edgelist,2,2
graph_982.edgelist,2,2
graph_983.edgelist,3,3
graph_984.edgelist,2,2
graph_985.edgelist,2,2
graph_986.edgelist,2,2
graph_987.edgelist,2,2
graph_988.edgelist,2,2
graph_989.edgelist,3,3
graph_99.edgelist,4,4
graph_990.edgelist,2,2
graph_991.edgelist,2,2
graph_992.edgelist,3,3
graph_993.edgelist,2,2
graph_994.edgelist,2,2
graph_995.edgelist,2,2
graph_996.edgelist,3,3
graph_997.edgelist,2,2
graph_998.edgelist,2,2
graph_999.edgelist,3,3
