Running job on gpu-5-25
Requested resources:
  - CPUs: 32
  - GPUs: 
  - Memory: 64000
Total graphs to generate: 450
Using 96 processes for parallel graph generation.
Saved graph: Nodes=90, Removal=20%, Iteration=11
Processed test_generated_graphs/nodes_90/removal_35percent/graph_21.edgelist: MIS size = 7, # of MIS sets = 1
Processed test_generated_graphs/nodes_90/removal_55percent/graph_17.edgelist: MIS size = 11, # of MIS sets = 6
Processed test_generated_graphs/nodes_90/removal_20percent/graph_14.edgelist: MIS size = 5, # of MIS sets = 1
Processed test_generated_graphs/nodes_90/removal_40percent/graph_20.edgelist: MIS size = 8, # of MIS sets = 1
Processed test_generated_graphs/nodes_90/removal_60percent/graph_18.edgelist: MIS size = 11, # of MIS sets = 4
Processed test_generated_graphs/nodes_90/removal_30percent/graph_13.edgelist: MIS size = 6, # of MIS sets = 11
Processed test_generated_graphs/nodes_90/removal_45percent/graph_27.edgelist: MIS size = 8, # of MIS sets = 8
Processed test_generated_graphs/nodes_90/removal_60percent/graph_4.edgelist: MIS size = 11, # of MIS sets = 9
Processed test_generated_graphs/nodes_90/removal_25percent/graph_22.edgelist: MIS size = 5, # of MIS sets = 24
Processed test_generated_graphs/nodes_90/removal_40percent/graph_26.edgelist: MIS size = 7, # of MIS sets = 24
Processed test_generated_graphs/nodes_90/removal_60percent/graph_13.edgelist: MIS size = 12, # of MIS sets = 2
Processed test_generated_graphs/nodes_90/removal_15percent/graph_4.edgelist: MIS size = 4, # of MIS sets = 24
Processed test_generated_graphs/nodes_90/removal_30percent/graph_17.edgelist: MIS size = 6, # of MIS sets = 12
Processed test_generated_graphs/nodes_90/removal_45percent/graph_13.edgelist: MIS size = 8, # of MIS sets = 16
Processed test_generated_graphs/nodes_90/removal_60percent/graph_16.edgelist: MIS size = 11, # of MIS sets = 1
Processed test_generated_graphs/nodes_90/removal_15percent/graph_5.edgelist: MIS size = 5, # of MIS sets = 4
Processed test_generated_graphs/nodes_90/removal_30percent/graph_19.edgelist: MIS size = 6, # of MIS sets = 2
Processed test_generated_graphs/nodes_90/removal_45percent/graph_24.edgelist: MIS size = 8, # of MIS sets = 5
Processed test_generated_graphs/nodes_90/removal_60percent/graph_26.edgelist: MIS size = 11, # of MIS sets = 30
Processed test_generated_graphs/nodes_90/removal_25percent/graph_27.edgelist: MIS size = 5, # of MIS sets = 44
Processed test_generated_graphs/nodes_90/removal_45percent/graph_11.edgelist: MIS size = 8, # of MIS sets = 12
Processed test_generated_graphs/nodes_90/removal_60percent/graph_27.edgelist: MIS size = 11, # of MIS sets = 3
Processed test_generated_graphs/nodes_90/removal_25percent/graph_9.edgelist: MIS size = 6, # of MIS sets = 1
Processed test_generated_graphs/nodes_90/removal_45percent/graph_22.edgelist: MIS size = 8, # of MIS sets = 6
Processed test_generated_graphs/nodes_90/removal_60percent/graph_25.edgelist: MIS size = 11, # of MIS sets = 2
Processed test_generated_graphs/nodes_90/removal_15percent/graph_6.edgelist: MIS size = 4, # of MIS sets = 34
Processed test_generated_graphs/nodes_90/removal_30percent/graph_4.edgelist: MIS size = 6, # of MIS sets = 6
Processed test_generated_graphs/nodes_90/removal_45percent/graph_18.edgelist: MIS size = 8, # of MIS sets = 15
Processed test_generated_graphs/nodes_90/removal_60percent/graph_29.edgelist: MIS size = 11, # of MIS sets = 4
Processed test_generated_graphs/nodes_90/removal_20percent/graph_17.edgelist: MIS size = 5, # of MIS sets = 4
Processed test_generated_graphs/nodes_90/removal_40percent/graph_12.edgelist: MIS size = 8, # of MIS sets = 1
Processed test_generated_graphs/nodes_90/removal_60percent/graph_17.edgelist: MIS size = 11, # of MIS sets = 8
Processed test_generated_graphs/nodes_90/removal_15percent/graph_14.edgelist: MIS size = 4, # of MIS sets = 14
Processed test_generated_graphs/nodes_90/removal_30percent/graph_3.edgelist: MIS size = 7, # of MIS sets = 2
Processed test_generated_graphs/nodes_90/removal_45percent/graph_5.edgelist: MIS size = 8, # of MIS sets = 19
Processed test_generated_graphs/nodes_90/removal_60percent/graph_19.edgelist: MIS size = 11, # of MIS sets = 5
Processed test_generated_graphs/nodes_90/removal_20percent/graph_7.edgelist: MIS size = 5, # of MIS sets = 4
Processed test_generated_graphs/nodes_90/removal_40percent/graph_27.edgelist: MIS size = 8, # of MIS sets = 1
Processed test_generated_graphs/nodes_90/removal_60percent/graph_12.edgelist: MIS size = 12, # of MIS sets = 1
Processed test_generated_graphs/nodes_90/removal_20percent/graph_23.edgelist: MIS size = 5, # of MIS sets = 6
Processed test_generated_graphs/nodes_90/removal_40percent/graph_2.edgelist: MIS size = 8, # of MIS sets = 1
Processed test_generated_graphs/nodes_90/removal_60percent/graph_10.edgelist: MIS size = 11, # of MIS sets = 6
Processed test_generated_graphs/nodes_90/removal_25percent/graph_25.edgelist: MIS size = 6, # of MIS sets = 1
Processed test_generated_graphs/nodes_90/removal_45percent/graph_2.edgelist: MIS size = 8, # of MIS sets = 15
Processed test_generated_graphs/nodes_90/removal_60percent/graph_30.edgelist: MIS size = 11, # of MIS sets = 8
Processed test_generated_graphs/nodes_90/removal_15percent/graph_8.edgelist: MIS size = 4, # of MIS sets = 30
Processed test_generated_graphs/nodes_90/removal_30percent/graph_2.edgelist: MIS size = 6, # of MIS sets = 1
Processed test_generated_graphs/nodes_90/removal_45percent/graph_25.edgelist: MIS size = 8, # of MIS sets = 11
Processed test_generated_graphs/nodes_90/removal_60percent/graph_2.edgelist: MIS size = 11, # of MIS sets = 12
Processed test_generated_graphs/nodes_90/removal_30percent/graph_1.edgelist: MIS size = 6, # of MIS sets = 9
Processed test_generated_graphs/nodes_90/removal_45percent/graph_8.edgelist: MIS size = 8, # of MIS sets = 10
Processed test_generated_graphs/nodes_90/removal_60percent/graph_21.edgelist: MIS size = 12, # of MIS sets = 1
Processed test_generated_graphs/nodes_90/removal_15percent/graph_23.edgelist: MIS size = 5, # of MIS sets = 2
Processed test_generated_graphs/nodes_90/removal_30percent/graph_5.edgelist: MIS size = 6, # of MIS sets = 19
Processed test_generated_graphs/nodes_90/removal_45percent/graph_20.edgelist: MIS size = 8, # of MIS sets = 6
Processed test_generated_graphs/nodes_90/removal_60percent/graph_6.edgelist: MIS size = 11, # of MIS sets = 6
Processed test_generated_graphs/nodes_90/removal_15percent/graph_30.edgelist: MIS size = 4, # of MIS sets = 30
Processed test_generated_graphs/nodes_90/removal_30percent/graph_22.edgelist: MIS size = 6, # of MIS sets = 3
Processed test_generated_graphs/nodes_90/removal_45percent/graph_9.edgelist: MIS size = 8, # of MIS sets = 9
Processed test_generated_graphs/nodes_90/removal_60percent/graph_7.edgelist: MIS size = 11, # of MIS sets = 1
Processed test_generated_graphs/nodes_90/removal_30percent/graph_14.edgelist: MIS size = 6, # of MIS sets = 2
Processed test_generated_graphs/nodes_90/removal_45percent/graph_4.edgelist: MIS size = 8, # of MIS sets = 17
Processed test_generated_graphs/nodes_90/removal_60percent/graph_24.edgelist: MIS size = 11, # of MIS sets = 5
Processed test_generated_graphs/nodes_90/removal_25percent/graph_13.edgelist: MIS size = 5, # of MIS sets = 39
Processed test_generated_graphs/nodes_90/removal_45percent/graph_14.edgelist: MIS size = 8, # of MIS sets = 18
Processed test_generated_graphs/nodes_90/removal_60percent/graph_14.edgelist: MIS size = 11, # of MIS sets = 8
Processed test_generated_graphs/nodes_90/removal_25percent/graph_6.edgelist: MIS size = 6, # of MIS sets = 2
Processed test_generated_graphs/nodes_90/removal_45percent/graph_23.edgelist: MIS size = 8, # of MIS sets = 16
Processed test_generated_graphs/nodes_90/removal_60percent/graph_3.edgelist: MIS size = 12, # of MIS sets = 1
Processed test_generated_graphs/nodes_90/removal_15percent/graph_12.edgelist: MIS size = 4, # of MIS sets = 20
Processed test_generated_graphs/nodes_90/removal_30percent/graph_7.edgelist: MIS size = 6, # of MIS sets = 15
Processed test_generated_graphs/nodes_90/removal_45percent/graph_3.edgelist: MIS size = 8, # of MIS sets = 5
Processed test_generated_graphs/nodes_90/removal_60percent/graph_23.edgelist: MIS size = 12, # of MIS sets = 2
Processed test_generated_graphs/nodes_90/removal_15percent/graph_9.edgelist: MIS size = 4, # of MIS sets = 36
Processed test_generated_graphs/nodes_90/removal_30percent/graph_18.edgelist: MIS size = 6, # of MIS sets = 6
Processed test_generated_graphs/nodes_90/removal_45percent/graph_21.edgelist: MIS size = 8, # of MIS sets = 6
Processed test_generated_graphs/nodes_90/removal_60percent/graph_20.edgelist: MIS size = 11, # of MIS sets = 18
Processed test_generated_graphs/nodes_90/removal_15percent/graph_13.edgelist: MIS size = 4, # of MIS sets = 26
Processed test_generated_graphs/nodes_90/removal_30percent/graph_6.edgelist: MIS size = 6, # of MIS sets = 2
Processed test_generated_graphs/nodes_90/removal_45percent/graph_28.edgelist: MIS size = 8, # of MIS sets = 21
Processed test_generated_graphs/nodes_90/removal_60percent/graph_8.edgelist: MIS size = 11, # of MIS sets = 6
Processed test_generated_graphs/nodes_90/removal_20percent/graph_6.edgelist: MIS size = 4, # of MIS sets = 125
Processed test_generated_graphs/nodes_90/removal_35percent/graph_6.edgelist: MIS size = 7, # of MIS sets = 3
Processed test_generated_graphs/nodes_90/removal_50percent/graph_5.edgelist: MIS size = 9, # of MIS sets = 6
Processed test_generated_graphs/nodes_90/removal_65percent/graph_7.edgelist: MIS size = 12, # of MIS sets = 35
Processed test_generated_graphs/nodes_90/removal_20percent/graph_29.edgelist: MIS size = 5, # of MIS sets = 8
Processed test_generated_graphs/nodes_90/removal_35percent/graph_14.edgelist: MIS size = 7, # of MIS sets = 1
Processed test_generated_graphs/nodes_90/removal_50percent/graph_26.edgelist: MIS size = 9, # of MIS sets = 15
Processed test_generated_graphs/nodes_90/removal_65percent/graph_8.edgelist: MIS size = 13, # of MIS sets = 5
Processed test_generated_graphs/nodes_90/removal_25percent/graph_2.edgelist: MIS size = 6, # of MIS sets = 1
Processed test_generated_graphs/nodes_90/removal_45percent/graph_10.edgelist: MIS size = 8, # of MIS sets = 7
Processed test_generated_graphs/nodes_90/removal_60percent/graph_28.edgelist: MIS size = 11, # of MIS sets = 33
Processed test_generated_graphs/nodes_90/removal_15percent/graph_11.edgelist: MIS size = 4, # of MIS sets = 19
Processed test_generated_graphs/nodes_90/removal_30percent/graph_24.edgelist: MIS size = 6, # of MIS sets = 12
Processed test_generated_graphs/nodes_90/removal_45percent/graph_29.edgelist: MIS size = 8, # of MIS sets = 11
Processed test_generated_graphs/nodes_90/removal_60percent/graph_9.edgelist: MIS size = 12, # of MIS sets = 3
Saved results for Nodes=90, Removal=15% to 'test_mis_results_grouped_v3/nodes_90_removal_15percent.json'
Saved results for Nodes=90, Removal=20% to 'test_mis_results_grouped_v3/nodes_90_removal_20percent.json'
Saved results for Nodes=90, Removal=25% to 'test_mis_results_grouped_v3/nodes_90_removal_25percent.json'
Saved results for Nodes=90, Removal=30% to 'test_mis_results_grouped_v3/nodes_90_removal_30percent.json'
Saved results for Nodes=90, Removal=35% to 'test_mis_results_grouped_v3/nodes_90_removal_35percent.json'
Saved results for Nodes=90, Removal=40% to 'test_mis_results_grouped_v3/nodes_90_removal_40percent.json'
Saved results for Nodes=90, Removal=45% to 'test_mis_results_grouped_v3/nodes_90_removal_45percent.json'
Saved results for Nodes=90, Removal=50% to 'test_mis_results_grouped_v3/nodes_90_removal_50percent.json'
Saved results for Nodes=90, Removal=55% to 'test_mis_results_grouped_v3/nodes_90_removal_55percent.json'
Saved results for Nodes=90, Removal=60% to 'test_mis_results_grouped_v3/nodes_90_removal_60percent.json'
Saved results for Nodes=90, Removal=65% to 'test_mis_results_grouped_v3/nodes_90_removal_65percent.json'
Saved results for Nodes=90, Removal=70% to 'test_mis_results_grouped_v3/nodes_90_removal_70percent.json'
All tasks processed. Total results collected: 360
All grouped results have been saved.
