Running job on compute-3-08
Requested resources:
  - CPUs: 64
  - GPUs: 
  - Memory: 64000
Node counts to process: [60]
Removal percentages to process: [15, 20, 25, 30, 35, 40, 45, 50, 55, 60, 65, 70, 75, 80, 85]%
Number of iterations per combination: 50
Base directory: generated_graphs
Output directory: mis_results_grouped
Total tasks to process: 750
Using 192 processes for parallel computation.
Processed generated_graphs/nodes_60/removal_50percent/graph_20.edgelist: MIS size = 10
Processed generated_graphs/nodes_60/removal_70percent/graph_46.edgelist: MIS size = 13
Processed generated_graphs/nodes_60/removal_20percent/graph_18.edgelist: MIS size = 5
Processed generated_graphs/nodes_60/removal_35percent/graph_30.edgelist: MIS size = 7
Processed generated_graphs/nodes_60/removal_50percent/graph_23.edgelist: MIS size = 8
Processed generated_graphs/nodes_60/removal_70percent/graph_11.edgelist: MIS size = 12
Processed generated_graphs/nodes_60/removal_20percent/graph_28.edgelist: MIS size = 4
Processed generated_graphs/nodes_60/removal_35percent/graph_45.edgelist: MIS size = 6
Processed generated_graphs/nodes_60/removal_50percent/graph_39.edgelist: MIS size = 8
Processed generated_graphs/nodes_60/removal_70percent/graph_19.edgelist: MIS size = 12
Processed generated_graphs/nodes_60/removal_15percent/graph_4.edgelist: MIS size = 4
Processed generated_graphs/nodes_60/removal_40percent/graph_42.edgelist: MIS size = 6
Processed generated_graphs/nodes_60/removal_50percent/graph_43.edgelist: MIS size = 8
Processed generated_graphs/nodes_60/removal_70percent/graph_15.edgelist: MIS size = 12
Processed generated_graphs/nodes_60/removal_15percent/graph_16.edgelist: MIS size = 4
Processed generated_graphs/nodes_60/removal_40percent/graph_39.edgelist: MIS size = 7
Processed generated_graphs/nodes_60/removal_55percent/graph_17.edgelist: MIS size = 9
Processed generated_graphs/nodes_60/removal_70percent/graph_9.edgelist: MIS size = 12
Processed generated_graphs/nodes_60/removal_25percent/graph_47.edgelist: MIS size = 5
Processed generated_graphs/nodes_60/removal_45percent/graph_22.edgelist: MIS size = 7
Processed generated_graphs/nodes_60/removal_55percent/graph_3.edgelist: MIS size = 8
Processed generated_graphs/nodes_60/removal_70percent/graph_32.edgelist: MIS size = 12
Processed generated_graphs/nodes_60/removal_30percent/graph_37.edgelist: MIS size = 5
Processed generated_graphs/nodes_60/removal_50percent/graph_3.edgelist: MIS size = 8
Processed generated_graphs/nodes_60/removal_70percent/graph_40.edgelist: MIS size = 12
Processed generated_graphs/nodes_60/removal_20percent/graph_29.edgelist: MIS size = 4
Processed generated_graphs/nodes_60/removal_35percent/graph_42.edgelist: MIS size = 6
Processed generated_graphs/nodes_60/removal_50percent/graph_40.edgelist: MIS size = 8
Processed generated_graphs/nodes_60/removal_70percent/graph_42.edgelist: MIS size = 12
Processed generated_graphs/nodes_60/removal_20percent/graph_16.edgelist: MIS size = 4
Processed generated_graphs/nodes_60/removal_35percent/graph_44.edgelist: MIS size = 6
Processed generated_graphs/nodes_60/removal_50percent/graph_27.edgelist: MIS size = 7
Processed generated_graphs/nodes_60/removal_70percent/graph_20.edgelist: MIS size = 12
Processed generated_graphs/nodes_60/removal_30percent/graph_4.edgelist: MIS size = 6
Processed generated_graphs/nodes_60/removal_45percent/graph_15.edgelist: MIS size = 8
Processed generated_graphs/nodes_60/removal_55percent/graph_18.edgelist: MIS size = 8
Processed generated_graphs/nodes_60/removal_70percent/graph_10.edgelist: MIS size = 13
Processed generated_graphs/nodes_60/removal_30percent/graph_21.edgelist: MIS size = 6
Processed generated_graphs/nodes_60/removal_50percent/graph_33.edgelist: MIS size = 8
Processed generated_graphs/nodes_60/removal_70percent/graph_29.edgelist: MIS size = 12
Processed generated_graphs/nodes_60/removal_25percent/graph_4.edgelist: MIS size = 5
Processed generated_graphs/nodes_60/removal_50percent/graph_15.edgelist: MIS size = 8
Processed generated_graphs/nodes_60/removal_70percent/graph_12.edgelist: MIS size = 12
Processed generated_graphs/nodes_60/removal_25percent/graph_46.edgelist: MIS size = 5
Processed generated_graphs/nodes_60/removal_35percent/graph_37.edgelist: MIS size = 6
Processed generated_graphs/nodes_60/removal_50percent/graph_21.edgelist: MIS size = 8
Processed generated_graphs/nodes_60/removal_70percent/graph_22.edgelist: MIS size = 12
Processed generated_graphs/nodes_60/removal_15percent/graph_10.edgelist: MIS size = 4
Processed generated_graphs/nodes_60/removal_35percent/graph_10.edgelist: MIS size = 6
Processed generated_graphs/nodes_60/removal_50percent/graph_14.edgelist: MIS size = 8
Processed generated_graphs/nodes_60/removal_70percent/graph_13.edgelist: MIS size = 12
Processed generated_graphs/nodes_60/removal_20percent/graph_2.edgelist: MIS size = 4
Processed generated_graphs/nodes_60/removal_35percent/graph_49.edgelist: MIS size = 6
Processed generated_graphs/nodes_60/removal_50percent/graph_50.edgelist: MIS size = 8
Processed generated_graphs/nodes_60/removal_70percent/graph_43.edgelist: MIS size = 12
Processed generated_graphs/nodes_60/removal_20percent/graph_24.edgelist: MIS size = 5
Processed generated_graphs/nodes_60/removal_35percent/graph_5.edgelist: MIS size = 6
Processed generated_graphs/nodes_60/removal_50percent/graph_49.edgelist: MIS size = 8
Processed generated_graphs/nodes_60/removal_70percent/graph_36.edgelist: MIS size = 13
Processed generated_graphs/nodes_60/removal_15percent/graph_29.edgelist: MIS size = 4
Processed generated_graphs/nodes_60/removal_40percent/graph_23.edgelist: MIS size = 6
Processed generated_graphs/nodes_60/removal_50percent/graph_35.edgelist: MIS size = 9
Processed generated_graphs/nodes_60/removal_70percent/graph_41.edgelist: MIS size = 12
Processed generated_graphs/nodes_60/removal_20percent/graph_22.edgelist: MIS size = 4
Processed generated_graphs/nodes_60/removal_35percent/graph_43.edgelist: MIS size = 6
ProcessedAll tasks processed. Total results collected: 750
Saved results for Nodes=60, Removal=15% to mis_results_grouped/nodes_60_removal_15percent.json
Saved results for Nodes=60, Removal=20% to mis_results_grouped/nodes_60_removal_20percent.json
Saved results for Nodes=60, Removal=25% to mis_results_grouped/nodes_60_removal_25percent.json
Saved results for Nodes=60, Removal=30% to mis_results_grouped/nodes_60_removal_30percent.json
Saved results for Nodes=60, Removal=35% to mis_results_grouped/nodes_60_removal_35percent.json
Saved results for Nodes=60, Removal=40% to mis_results_grouped/nodes_60_removal_40percent.json
Saved results for Nodes=60, Removal=45% to mis_results_grouped/nodes_60_removal_45percent.json
Saved results for Nodes=60, Removal=50% to mis_results_grouped/nodes_60_removal_50percent.json
Saved results for Nodes=60, Removal=55% to mis_results_grouped/nodes_60_removal_55percent.json
Saved results for Nodes=60, Removal=60% to mis_results_grouped/nodes_60_removal_60percent.json
Saved results for Nodes=60, Removal=65% to mis_results_grouped/nodes_60_removal_65percent.json
Saved results for Nodes=60, Removal=70% to mis_results_grouped/nodes_60_removal_70percent.json
Saved results for Nodes=60, Removal=75% to mis_results_grouped/nodes_60_removal_75percent.json
Saved results for Nodes=60, Removal=80% to mis_results_grouped/nodes_60_removal_80percent.json
Saved results for Nodes=60, Removal=85% to mis_results_grouped/nodes_60_removal_85percent.json
All grouped results have been saved.
