Running job on gpu-5-28
Requested resources:
  - CPUs: 64
  - GPUs: 
  - Memory: 64000
Node counts to process: [45]
Removal percentages to process: [15, 20, 25, 30, 35, 40, 45, 50, 55, 60, 65, 70, 75, 80, 85]%
Number of iterations per combination: 50
Base directory: generated_graphs
Output directory: mis_results_grouped
Total tasks to process: 750
Using 96 processes for parallel computation.
Processed generated_graphs/nodes_45/removal_15percent/graph_43.edgelist: MIS size = 4
Processed generated_graphs/nodes_45/removal_25percent/graph_16.edgelist: MIS size = 5
Processed generated_graphs/nodes_45/removal_30percent/graph_39.edgelist: MIS size = 5
Processed generated_graphs/nodes_45/removal_40percent/graph_31.edgelist: MIS size = 6
Processed generated_graphs/nodes_45/removal_50percent/graph_43.edgelist: MIS size = 8
Processed generated_graphs/nodes_45/removal_60percent/graph_22.edgelist: MIS size = 10
Processed generated_graphs/nodes_45/removal_70percent/graph_46.edgelist: MIS size = 11
Processed generated_graphs/nodes_45/removal_80percent/graph_18.edgelist: MIS size = 13
Processed generated_graphs/nodes_45/removal_20percent/graph_26.edgelist: MIS size = 5
Processed generated_graphs/nodes_45/removal_30percent/graph_31.edgelist: MIS size = 5
Processed generated_graphs/nodes_45/removal_40percent/graph_26.edgelist: MIS size = 6
Processed generated_graphs/nodes_45/removal_50percent/graph_27.edgelist: MIS size = 7
Processed generated_graphs/nodes_45/removal_60percent/graph_17.edgelist: MIS size = 8
Processed generated_graphs/nodes_45/removal_70percent/graph_22.edgelist: MIS size = 10
Processed generated_graphs/nodes_45/removal_80percent/graph_38.edgelist: MIS size = 13
Processed generated_graphs/nodes_45/removal_15percent/graph_28.edgelist: MIS size = 4
Processed generated_graphs/nodes_45/removal_30percent/graph_29.edgelist: MIS size = 4
Processed generated_graphs/nodes_45/removal_40percent/graph_17.edgelist: MIS size = 6
Processed generated_graphs/nodes_45/removal_50percent/graph_37.edgelist: MIS size = 7
Processed generated_graphs/nodes_45/removal_60percent/graph_25.edgelist: MIS size = 9
Processed generated_graphs/nodes_45/removal_70percent/graph_27.edgelist: MIS size = 12
Processed generated_graphs/nodes_45/removal_80percent/graph_31.edgelist: MIS size = 14
Processed generated_graphs/nodes_45/removal_20percent/graph_35.edgelist: MIS size = 4
Processed generated_graphs/nodes_45/removal_35percent/graph_13.edgelist: MIS size = 6
Processed generated_graphs/nodes_45/removal_40percent/graph_4.edgelist: MIS size = 6
Processed generated_graphs/nodes_45/removal_50percent/graph_23.edgelist: MIS size = 7
Processed generated_graphs/nodes_45/removal_60percent/graph_13.edgelist: MIS size = 8
Processed generated_graphs/nodes_45/removal_70percent/graph_28.edgelist: MIS size = 11
Processed generated_graphs/nodes_45/removal_80percent/graph_35.edgelist: MIS size = 14
Processed generated_graphs/nodes_45/removal_15percent/graph_29.edgelist: MIS size = 4
Processed generated_graphs/nodes_45/removal_25percent/graph_11.edgelist: MIS size = 4
Processed generated_graphs/nodes_45/removal_35percent/graph_42.edgelist: MIS size = 5
Processed generated_graphs/nodes_45/removal_45percent/graph_31.edgelist: MIS size = 7
Processed generated_graphs/nodes_45/removal_50percent/graph_7.edgelist: MIS size = 7
Processed generated_graphs/nodes_45/removal_60percent/graph_40.edgelist: MIS size = 10
Processed generated_graphs/nodes_45/removal_70percent/graph_38.edgelist: MIS size = 11
Processed generated_graphs/nodes_45/removal_80percent/graph_15.edgelist: MIS size = 14
Processed generated_graphs/nodes_45/removal_20percent/graph_40.edgelist: MIS size = 4
Processed generated_graphs/nodes_45/removal_30percent/graph_45.edgelist: MIS size = 5
Processed generated_graphs/nodes_45/removal_40percent/graph_3.edgelist: MIS size = 6
Processed generated_graphs/nodes_45/removal_50percent/graph_32.edgelist: MIS size = 7
Processed generated_graphs/nodes_45/removal_60percent/graph_31.edgelist: MIS size = 9
Processed generated_graphs/nodes_45/removal_70percent/graph_25.edgelist: MIS size = 11
Processed generated_graphs/nodes_45/removal_80percent/graph_25.edgelist: MIS size = 14
Processed generated_graphs/nodes_45/removal_15percent/graph_42.edgelist: MIS size = 3
Processed generated_graphs/nodes_45/removal_30percent/graph_30.edgelist: MIS size = 5
Processed generated_graphs/nodes_45/removal_40percent/graph_36.edgelist: MIS size = 6
Processed generated_graphs/nodes_45/removal_50percent/graph_4.edgelist: MIS size = 7
Processed generated_graphs/nodes_45/removal_60percent/graph_5.edgelist: MIS size = 9
Processed generated_graphs/nodes_45/removal_70percent/graph_45.edgelist: MIS size = 10
Processed generated_graphs/nodes_45/removal_80percent/graph_23.edgelist: MIS size = 14
Processed generated_graphs/nodes_45/removal_20percent/graph_44.edgelist: MIS size = 4
Processed generated_graphs/nodes_45/removal_30percent/graph_3.edgelist: MIS size = 5
Processed generated_graphs/nodes_45/removal_40percent/graph_11.edgelist: MIS size = 6
Processed generated_graphs/nodes_45/removal_50percent/graph_18.edgelist: MIS size = 7
Processed generated_graphs/nodes_45/removal_60percent/graph_47.edgelist: MIS size = 9
Processed generated_graphs/nodes_45/removal_70percent/graph_32.edgelist: MIS size = 11
Processed generated_graphs/nodes_45/removal_80percent/graph_24.edgelist: MIS size = 14
Processed generated_graphs/nodes_45/removal_15percent/graph_46.edgelist: MIS size = 4
Processed generated_graphs/nodes_45/removal_25percent/graph_3.edgelist: MIS size = 4
Processed generated_graphs/nodes_45/removal_30percent/graph_50.edgelist: MIS size = 5
Processed generated_graphs/nodes_45/removal_40percent/graph_43.edgelist: MIS size = 6
Processed generated_graphs/nodes_45/removal_50percent/graph_50.edgelist: MIS size = 8
Processed generated_graphs/nodes_45/removal_60percent/graph_4.edgelist: MIS size = 9
Processed generated_graphs/nodes_45/removal_70percent/graph_40.edgelist: MIS size = 12
Processed generated_graphs/nodes_45/removal_80percent/graph_28.edgelist: MIS size = 15
Processed generated_graphs/nodes_45/removal_15percent/graph_27.edgelist: MIS size = 4
Processed generated_graphs/nodes_45/removal_25percent/graph_49.edgelist: MIS size = 4
Processed generated_graphs/nodes_45/removal_40percent/graph_1.edgelist: MIS size = 6
Processed generated_graphs/nodes_45/removal_50percent/graph_25.edgelist: MIS size = 6
Processed generated_graphs/nodes_45/removal_60percent/graph_27.edgelist: MIS size = 9
Processed generated_graphs/nodes_45/removal_70percent/graph_13.edgelist: MIS size = 11
Processed generated_graphs/nodes_45/removal_80percent/graph_39.edgelist: MIS size = 14
Processed generated_graphs/nodes_45/removal_15percent/graph_19.edgelist: MIS size = 4
Processed generated_graphs/nodes_45/removal_25percent/graph_19.edgelist: MIS size = 5
Processed generated_graphs/nodes_45/removal_35percent/graph_28.edgelist: MIS size = 5
Processed generated_graphs/nodes_45/removal_45percent/graph_10.edgelist: MIS size = 6
Processed generated_graphs/nodes_45/removal_50percent/graph_26.edgelist: MIS size = 8
Processed generated_graphs/nodes_45/removal_60percent/graph_46.edgelist: MIS size = 9
Processed generated_graphs/nodes_45/removal_70percent/graph_20.edgelist: MIS size = 11
Processed generated_graphs/nodes_45/removal_80percent/graph_47.edgelist: MIS size = 13
Processed generated_graphs/nodes_45/removal_20percent/graph_48.edgelist: MIS size = 4
Processed generated_graphs/nodes_45/removal_30percent/graph_37.edgelist: MIS size = 5
Processed generated_graphs/nodes_45/removal_35percent/graph_7.edgelist: MIS size = 5
Processed generated_graphs/nodes_45/removal_50percent/graph_14.edgelist: MIS size = 7
Processed generated_graphs/nodes_45/removal_60percent/graph_14.edgelist: MIS size = 8
Processed generated_graphs/nodes_45/removal_70percent/graph_23.edgelist: MIS size = 12
Processed generated_graphs/nodes_45/removal_80percent/graph_49.edgelist: MIS size = 14
Processed generated_graphs/nodes_45/removal_20percent/graph_42.edgelist: MIS size = 5
Processed generated_graphs/nodes_45/removal_30percent/graph_6.edgelist: MIS size = 5
Processed generated_graphs/nodes_45/removal_40percent/graph_35.edgelist: MIS size = 6
Processed generated_graphs/nodes_45/removal_50percent/graph_33.edgelist: MIS size = 7
Processed generated_graphs/nodes_45/removal_60percent/graph_12.edgelist: MIS size = 9
Processed generated_graphs/nodes_45/removal_70percent/graph_1.edgelist: MIS size = 10
Processed generated_graphs/nodes_45/removal_80percent/graph_41.edgelist: MIS size = 14
