Running job on compute-0-01
Requested resources:
  - CPUs: 128
  - GPUs: 
  - Memory: 128000
Total graphs to generate: 1500
Using 384 processes for parallel graph generation.
Saved graph: Nodes=80, Removal=15%, Iteration=2
Saved graph: Nodes=80, Removal=15%, Iteration=26
Saved graph: Nodes=80, Removal=15%, Iteration=17
Saved graph: Nodes=80, Removal=15%, Iteration=48
Saved graph: Nodes=80, Removal=15%, Iteration=14
Saved graph: Nodes=80, Removal=15%, Iteration=16
Saved graph: Nodes=80, Removal=20%, Iteration=21
Saved graph: Nodes=80, Removal=15%, Iteration=25
Saved graph: Nodes=80, Removal=20%, Iteration=14
Saved graph: Nodes=80, Removal=15%, Iteration=7
Saved graph: Nodes=80, Removal=20%, Iteration=1
Saved graph: Nodes=80, Removal=20%, Iteration=23
Saved graph: Nodes=80, Removal=15%, Iteration=4
Saved graph: Nodes=80, Removal=20%, Iteration=19
Saved graph: Nodes=80, Removal=15%, Iteration=18
Saved graph: Nodes=80, Removal=20%, Iteration=27
Saved graph: Nodes=80, Removal=20%, Iteration=29
Saved graph: Nodes=80, Removal=15%, Iteration=5
Saved graph: Nodes=80, Removal=15%, Iteration=6
Saved graph: Nodes=80, Removal=20%, Iteration=24
Saved graph: Nodes=80, Removal=15%, Iteration=19
Saved graph: Nodes=80, Removal=15%, Iteration=20
Saved graph: Nodes=80, Removal=20%, Iteration=35
Saved graph: Nodes=80, Removal=20%, Iteration=54
Saved graph: Nodes=80, Removal=15%, Iteration=1
Saved graph: Nodes=80, Removal=20%, Iteration=41
Saved graph: Nodes=80, Removal=15%, Iteration=9
Saved graph: Nodes=80, Removal=20%, Iteration=46
Saved graph: Nodes=80, Removal=15%, Iteration=29
Saved graph: Nodes=80, Removal=20%, Iteration=67
Saved graph: Nodes=80, Removal=15%, Iteration=22
Saved graph: Nodes=80, Removal=20%, Iteration=32
Saved graph: Nodes=80, Removal=15%, Iteration=28
Saved graph: Nodes=80, Removal=20%, Iteration=36
Saved graph: Nodes=80, Removal=15%, Iteration=3
Saved graph: Nodes=80, Removal=15%, Iteration=21
Saved graph: Nodes=80, Removal=15%, Iteration=8
Saved graph: Nodes=80, Removal=15%, Iteration=24
Saved graph: Nodes=80, Removal=15%, Iteration=30
Saved graph: Nodes=80, Removal=15%, Iteration=69
Saved graph: Nodes=80, Removal=15%, Iteration=31
Saved graph: Nodes=80, Removal=15%, Iteration=34
Saved graph: Nodes=80, Removal=15%, Iteration=37
Saved graph: Nodes=80, Removal=15%, Iteration=71
Saved graph: Nodes=80, Removal=15%, Iteration=23
Saved graph: Nodes=80, Removal=15%, Iteration=77
Saved graph: Nodes=80, Removal=15%, Iteration=94
Saved graph: Nodes=80, Removal=15%, Iteration=10
Saved graph: Nodes=80, Removal=15%, Iteration=87
Saved graph: Nodes=80, Removal=15%, Iteration=41
Saved graph: Nodes=80, Removal=15%, Iteration=27
Saved graph: Nodes=80, Removal=20%, Iteration=12
Saved graph: Nodes=80, Removal=15%, Iteration=13
Saved graph: Nodes=80, Removal=15%, Iteration=33
Saved graph: Nodes=80, Removal=20%, Iteration=9
Saved graph: Nodes=80, Removal=15%, Iteration=42
Saved graph: Nodes=80, Removal=15%, Iteration=90
Saved graph: Nodes=80, Removal=20%, Iteration=2
Saved graph: Nodes=80, Removal=20%, Iteration=8
Saved graph: Nodes=80, Removal=15%, Iteration=75
Saved graph: Nodes=80, Removal=20%, Iteration=5
Saved graph: Nodes=80, Removal=20%, Iteration=11
Saved graph: Nodes=80, Removal=20%, Iteration=4
Saved graph: Nodes=80, Removal=15%, Iteration=36
Saved graph: Nodes=80, Removal=15%, Iteration=45
Saved graph: Nodes=80, Removal=20%, Iteration=17
Saved graph: Nodes=80, Removal=15%, Iteration=32
Saved graph: Nodes=80, Removal=20%, Iteration=28
Saved graph: Nodes=80, Removal=15%, Iteration=12
Saved graph: Nodes=80, Removal=35%, Iteration=35
