Running job on compute-0-01
Requested resources:
  - CPUs: 64
  - GPUs: 
  - Memory: 64000
Node counts to process: [70]
Removal percentages to process: [15, 20, 25, 30, 35, 40, 45, 50, 55, 60, 65, 70, 75, 80, 85]%
Number of iterations per combination: 50
Base directory: generated_graphs
Output directory: mis_results_grouped
Total tasks to process: 750
Using 384 processes for parallel computation.
Processed generated_graphs/nodes_70/removal_50percent/graph_35.edgelist: MIS size = 8
Processed generated_graphs/nodes_70/removal_15percent/graph_23.edgelist: MIS size = 4
Processed generated_graphs/nodes_70/removal_50percent/graph_43.edgelist: MIS size = 9
Processed generated_graphs/nodes_70/removal_25percent/graph_45.edgelist: MIS size = 5
Processed generated_graphs/nodes_70/removal_55percent/graph_25.edgelist: MIS size = 9
Processed generated_graphs/nodes_70/removal_15percent/graph_10.edgelist: MIS size = 4
Processed generated_graphs/nodes_70/removal_50percent/graph_26.edgelist: MIS size = 9
Processed generated_graphs/nodes_70/removal_15percent/graph_48.edgelist: MIS size = 4
Processed generated_graphs/nodes_70/removal_55percent/graph_44.edgelist: MIS size = 10
Processed generated_graphs/nodes_70/removal_15percent/graph_49.edgelist: MIS size = 4
Processed generated_graphs/nodes_70/removal_55percent/graph_29.edgelist: MIS size = 9
Processed generated_graphs/nodes_70/removal_15percent/graph_40.edgelist: MIS size = 4
Processed generated_graphs/nodes_70/removal_55percent/graph_34.edgelist: MIS size = 9
Processed generated_graphs/nodes_70/removal_20percent/graph_36.edgelist: MIS size = 4
Processed generated_graphs/nodes_70/removal_55percent/graph_30.edgelist: MIS size = 9
Processed generated_graphs/nodes_70/removal_50percent/graph_46.edgelist: MIS size = 8
Processed generated_graphs/nodes_70/removal_15percent/graph_2.edgelist: MIS size = 4
Processed generated_graphs/nodes_70/removal_55percent/graph_20.edgelist: MIS size = 9
Processed generated_graphs/nodes_70/removal_50percent/graph_39.edgelist: MIS size = 9
Processed generated_graphs/nodes_70/removal_15percent/graph_15.edgelist: MIS size = 5
Processed generated_graphs/nodes_70/removal_55percent/graph_40.edgelist: MIS size = 9
Processed generated_graphs/nodes_70/removal_25percent/graph_9.edgelist: MIS size = 5
Processed generated_graphs/nodes_70/removal_55percent/graph_9.edgelist: MIS size = 9
Processed generated_graphs/nodes_70/removal_20percent/graph_32.edgelist: MIS size = 5
Processed generated_graphs/nodes_70/removal_55percent/graph_28.edgelist: MIS size = 9
Processed generated_graphs/nodes_70/removal_40percent/graph_21.edgelist: MIS size = 7
Processed generated_graphs/nodes_70/removal_15percent/graph_12.edgelist: MIS size = 5
Processed generated_graphs/nodes_70/removal_55percent/graph_4.edgelist: MIS size = 9
Processed generated_graphs/nodes_70/removal_45percent/graph_37.edgelist: MIS size = 7
Processed generated_graphs/nodes_70/removal_20percent/graph_34.edgelist: MIS size = 5
Processed generated_graphs/nodes_70/removal_55percent/graph_23.edgelist: MIS size = 9
Processed generated_graphs/nodes_70/removal_40percent/graph_12.edgelist: MIS size = 6
Processed generated_graphs/nodes_70/removal_20percent/graph_3.edgelist: MIS size = 5
Processed generated_graphs/nodes_70/removal_55percent/graph_26.edgelist: MIS size = 9
Processed generated_graphs/nodes_70/removal_50percent/graph_13.edgelist: MIS size = 8
Processed generated_graphs/nodes_70/removal_20percent/graph_33.edgelist: MIS size = 5
Processed generated_graphs/nodes_70/removal_55percent/graph_27.edgelist: MIS size = 9
Processed generated_graphs/nodes_70/removal_50percent/graph_22.edgelist: MIS size = 8
Processed generated_graphs/nodes_70/removal_40percent/graph_36.edgelist: MIS size = 7
Processed generated_graphs/nodes_70/removal_30percent/graph_17.edgelist: MIS size = 6
Processed generated_graphs/nodes_70/removal_55percent/graph_50.edgelist: MIS size = 9
Processed generated_graphs/nodes_70/removal_30percent/graph_39.edgelist: MIS size = 6
Processed generated_graphs/nodes_70/removal_55percent/graph_38.edgelist: MIS size = 9
Processed generated_graphs/nodes_70/removal_15percent/graph_33.edgelist: MIS size = 4
Processed generated_graphs/nodes_70/removal_55percent/graph_15.edgelist: MIS size = 9
Processed generated_graphs/nodes_70/removal_15percent/graph_7.edgelist: MIS size = 4
Processed generated_graphs/nodes_70/removal_55percent/graph_14.edgelist: MIS size = 9
Processed generated_graphs/nodes_70/removal_15percent/graph_37.edgelist: MIS size = 4
Processed generated_graphs/nodes_70/removal_55percent/graph_7.edgelist: MIS size = 9
Processed generated_graphs/nodes_70/removal_20percent/graph_42.edgelist: MIS size = 4
Processed generated_graphs/nodes_70/removal_55percent/graph_8.edgelist: MIS size = 10
Processed generated_graphs/nodes_70/removal_45percent/graph_39.edgelist: MIS size = 8
Processed generated_graphs/nodes_70/removal_15percent/graph_24.edgelist: MIS size = 4
Processed generated_graphs/nodes_70/removal_55percent/graph_13.edgelist: MIS size = 10
Processed generated_graphs/nodes_70/removal_15percent/graph_21.edgelist: MIS size = 4
Processed generated_graphs/nodes_70/removal_50percent/graph_7.edgelist: MIS size = 8
Processed generated_graphs/nodes_70/removal_50percent/graph_11.edgelist: MIS size = 8
Processed generated_graphs/nodes_70/removal_50percent/graph_17.edgelist: MIS size = 9
Processed generated_graphs/nodes_70/removal_45percent/graph_2.edgelist: MIS size = 8
Processed generated_graphs/nodes_70/removal_45percent/graph_32.edgelist: MIS size = 7
Processed generated_graphs/nodes_70/removal_55percent/graph_3.edgelist: MIS size = 9
Processed generated_graphs/nodes_70/removal_50percent/graph_23.edgelist: MIS size = 9
Processed generated_graphs/nodes_70/removal_25percent/graph_14.edgelist: MIS size = 5
Processed generated_graphs/nodes_70/removal_55percent/graph_2.edgelist: MIS size = 9
Processed generated_graphs/nodes_70/removal_15percent/graph_14.edgelist: MIS size = 4
Processed generated_graphs/nodes_70/removal_50percent/graph_50.edgelist: MIS size = 8
Processed generated_graphs/nodes_70/removal_60percent/graph_21.edgelist: MIS size = 10
Processed generated_graphs/nodes_70/removal_25percent/graph_42.edgelist: MIS size = 5
Processed generated_graphs/nodes_70/removal_55percent/graph_24.edgelist: MIS size = 9
Processed generated_graphs/nodes_70/removal_15percent/graph_25.edgelist: MIS size = 4
Processed generated_graphs/nodes_70/removal_55percent/graph_12.edgelist: MIS size = 9
Processed generated_graphs/nodes_70/removal_15percent/graph_18.edgelist: MIS size = 4
Processed generated_graphs/nodes_70/removal_55percent/graph_47.edgelist: MIS size = 9
Processed generated_graphs/nodes_70/removal_25percent/graph_23.edgelist: MIS size = 5
Processed generated_graphs/nodes_70/removal_55percent/graph_46.edgelist: MIS size = 9
Processed generated_graphs/nodes_70/removal_50percent/graph_36.edgelist: MIS size = 9
Processed generated_graphs/nodes_70/removal_50percent/graph_28.edgelist: MIS size = 8
Processed generated_graphs/nodes_70/removal_25percent/graph_32.edgelist: MIS size = 5
Processed generated_graphs/nodes_70/removal_55percent/graph_36.edgelist: MIS size = 9
Processed generated_graphs/nodes_70/removal_40percent/graph_43.edgelist: MIS size = 7
Processed generated_graphs/nodes_70/removal_40percent/graph_7.edgelist: MIS size = 7
Processed generated_graphs/nodes_70/removal_25percent/graph_3.edgelist: MIS size = 6
Processed generated_graphs/nodes_70/removal_55percent/graph_49.edgelist: MIS size = 9
Processed generated_graphs/nodes_70/removal_40percent/graph_33.edgelist: MIS size = 7
Processed generated_graphs/nodes_70/removal_15percent/graph_16.edgelist: MIS size = 4
Processed generated_graphs/nodes_70/removal_55percent/graph_33.edgelist: MIS size = 9
Processed generated_graphs/nodes_70/removal_45percent/graph_13.edgelist: MIS size = 8
Processed generated_graphs/nodes_70/removal_15percent/graph_44.edgelist: MIS size = 4
Processed generated_graphs/nodes_70/removal_55percent/graph_16.edgelist: MIS size = 10
Processed generated_graphs/nodes_70/removal_25percent/graph_29.edgelist: MIS size = 5
Processed generated_graphs/nodes_70/removal_60percent/graph_28.edgelist: MIS size = 10
Processed generated_graphs/nodes_70/removal_40percent/graph_39.edgelist: MIS size = 7
Processed generated_graphs/nodes_70/removal_15percent/graph_46.edgelist: MIS size = 4
Processed generated_graphs/nodes_70/removal_55percent/graph_32.edgelist: MIS size = 9
Processed generated_graphs/nodes_70/removal_25percent/graph_41.edgelist: MIS size = 5
