Running job on gpu-5-11
Requested resources:
  - CPUs: 32
  - GPUs: 
  - Memory: 64000
Total graphs to generate: 450
Using 128 processes for parallel graph generation.
Saved graph: Nodes=90, Removal=20%, Iteration=30
Saved graph: Nodes=90, Removal=30%, Iteration=2
Saved graph: Nodes=90, Removal=30%, Iteration=5
Saved graph: Nodes=90, Removal=30%, Iteration=3
Saved graph: Nodes=90, Removal=30%, Iteration=6
Saved graph: Nodes=90, Removal=25%, Iteration=13
Saved graph: Nodes=90, Removal=25%, Iteration=12
Saved graph: Nodes=90, Removal=25%, Iteration=10
Saved graph: Nodes=90, Removal=25%, Iteration=11
Saved graph: Nodes=90, Removal=30%, Iteration=17
Saved graph: Nodes=90, Removal=30%, Iteration=11
Saved graph: Nodes=90, Removal=30%, Iteration=8
Saved graph: Nodes=90, Removal=30%, Iteration=10
Saved graph: Nodes=90, Removal=30%, Iteration=4
Saved graph: Nodes=90, Removal=25%, Iteration=14
Saved graph: Nodes=90, Removal=25%, Iteration=16
Saved graph: Nodes=90, Removal=25%, Iteration=23
Saved graph: Nodes=90, Removal=30%, Iteration=16
Saved graph: Nodes=90, Removal=30%, Iteration=15
Saved graph: Nodes=90, Removal=25%, Iteration=17
Saved graph: Nodes=90, Removal=30%, Iteration=12
Saved graph: Nodes=90, Removal=30%, Iteration=14
Saved graph: Nodes=90, Removal=30%, Iteration=13
Saved graph: Nodes=90, Removal=25%, Iteration=18
Saved graph: Nodes=90, Removal=25%, Iteration=24
Saved graph: Nodes=90, Removal=25%, Iteration=19
Saved graph: Nodes=90, Removal=30%, Iteration=18
Saved graph: Nodes=90, Removal=25%, Iteration=20
Saved graph: Nodes=90, Removal=30%, Iteration=22
Saved graph: Nodes=90, Removal=30%, Iteration=26
Saved graph: Nodes=90, Removal=30%, Iteration=21
Saved graph: Nodes=90, Removal=25%, Iteration=22
Saved graph: Nodes=90, Removal=25%, Iteration=21
Saved graph: Nodes=90, Removal=30%, Iteration=24
Saved graph: Nodes=90, Removal=25%, Iteration=26
Saved graph: Nodes=90, Removal=30%, Iteration=19
Saved graph: Nodes=90, Removal=25%, Iteration=25
Saved graph: Nodes=90, Removal=25%, Iteration=30
Saved graph: Nodes=90, Removal=30%, Iteration=27
Saved graph: Nodes=90, Removal=25%, Iteration=27
Saved graph: Nodes=90, Removal=30%, Iteration=20
Saved graph: Nodes=90, Removal=25%, Iteration=15
Saved graph: Nodes=90, Removal=25%, Iteration=29
Saved graph: Nodes=90, Removal=30%, Iteration=23
Saved graph: Nodes=90, Removal=25%, Iteration=28
Saved graph: Nodes=90, Removal=30%, Iteration=7
Saved graph: Nodes=90, Removal=30%, Iteration=29
Saved graph: Nodes=90, Removal=30%, Iteration=28
Saved graph: Nodes=90, Removal=30%, Iteration=25
Saved graph: Nodes=90, Removal=30%, Iteration=30
Saved graph: Nodes=90, Removal=40%, Iteration=18
Saved graph: Nodes=90, Removal=45%, Iteration=14
Saved graph: Nodes=90, Removal=40%, Iteration=5
Saved graph: Nodes=90, Removal=35%, Iteration=26
Saved graph: Nodes=90, Removal=35%, Iteration=20
Saved graph: Nodes=90, Removal=20%, Iteration=12
Saved graph: Nodes=90, Removal=40%, Iteration=8
Saved graph: Nodes=90, Removal=35%, Iteration=29
Saved graph: Nodes=90, Removal=40%, Iteration=2
Saved graph: Nodes=90, Removal=35%, Iteration=24
Saved graph: Nodes=90, Removal=40%, Iteration=4
Saved graph: Nodes=90, Removal=35%, Iteration=22
Saved graph: Nodes=90, Removal=35%, Iteration=23
Saved graph: Nodes=90, Removal=40%, Iteration=1
Saved graph: Nodes=90, Removal=35%, Iteration=9
Saved graph: Nodes=90, Removal=40%, Iteration=6
Saved graph: Nodes=90, Removal=35%, Iteration=21
Saved graph: Nodes=90, Removal=35%, Iteration=19
Saved graph: Nodes=90, Removal=40%, Iteration=3
Saved graph: Nodes=90, Removal=35%, Iteration=18
Saved graph: Nodes=90, Removal=40%, Iteration=9
Saved graph: Nodes=90, Removal=35%, Iteration=28
Saved graph: Nodes=90, Removal=35%, Iteration=6
Saved graph: Nodes=90, Removal=35%, Iteration=25
Saved graph: Nodes=90, Removal=40%, Iteration=11
Saved graph: Nodes=90, Removal=35%, Iteration=14
Saved graph: Nodes=90, Removal=35%, Iteration=13
Saved graph: Nodes=90, Removal=40%, Iteration=12
Saved graph: Nodes=90, Removal=40%, Iteration=10
Saved graph: Nodes=90, Removal=35%, Iteration=3
Saved graph: Nodes=90, Removal=35%, Iteration=11
Saved graph: Nodes=90, Removal=40%, Iteration=13
Saved graph: Nodes=90, Removal=40%, Iteration=17
Saved graph: Nodes=90, Removal=35%, Iteration=5
Saved graph: Nodes=90, Removal=35%, Iteration=27
Saved graph: Nodes=90, Removal=35%, Iteration=2
Saved graph: Nodes=90, Removal=40%, Iteration=15
Saved graph: Nodes=90, Removal=40%, Iteration=14
Saved graph: Nodes=90, Removal=40%, Iteration=19
Saved graph: Nodes=90, Removal=35%, Iteration=17
Saved graph: Nodes=90, Removal=40%, Iteration=21
Saved graph: Nodes=90, Removal=45%, Iteration=1
Saved graph: Nodes=90, Removal=35%, Iteration=10
Saved graph: Nodes=90, Removal=35%, Iteration=15
Saved graph: Nodes=90, Removal=40%, Iteration=20
Saved graph: Nodes=90, Removal=40%, Iteration=16
Saved graph: Nodes=90, Removal=40%, Iteration=22
Saved graph: Nodes=90, Removal=35%, Iteration=4
Saved graph: Nodes=90, Removal=55%, Iteration=13
Saved graph: Nodes=90, Removal=45%, Iteration=10
Saved graph: Nodes=90, Removal=45%, Iteration=4
Saved graph: Nodes=90, Removal=35%, Iteration=1
Saved graph: Nodes=90, Removal=40%, Iteration=26
Saved graph: Nodes=90, Removal=35%, Iteration=8
Saved graph: Nodes=90, Removal=45%, Iteration=6
Saved graph: Nodes=90, Removal=45%, Iteration=9
Saved graph: Nodes=90, Removal=55%, Iteration=27
Saved graph: Nodes=90, Removal=35%, Iteration=12
Saved graph: Nodes=90, Removal=45%, Iteration=2
Saved graph: Nodes=90, Removal=40%, Iteration=23
Saved graph: Nodes=90, Removal=40%, Iteration=25
Saved graph: Nodes=90, Removal=40%, Iteration=28
Saved graph: Nodes=90, Removal=35%, Iteration=16
Saved graph: Nodes=90, Removal=45%, Iteration=3
Saved graph: Nodes=90, Removal=45%, Iteration=12
Saved graph: Nodes=90, Removal=35%, Iteration=30
Saved graph: Nodes=90, Removal=35%, Iteration=7
Saved graph: Nodes=90, Removal=40%, Iteration=29
Saved graph: Nodes=90, Removal=45%, Iteration=5
Saved graph: Nodes=90, Removal=40%, Iteration=24
Saved graph: Nodes=90, Removal=45%, Iteration=7
Saved graph: Nodes=90, Removal=40%, Iteration=27
Saved graph: Nodes=90, Removal=45%, Iteration=8
Saved graph: Nodes=90, Removal=40%, Iteration=30
Saved graph: Nodes=90, Removal=45%, Iteration=11
Saved graph: Nodes=90, Removal=45%, Iteration=17
Saved graph: Nodes=90, Removal=45%, Iteration=15
Saved graph: Nodes=90, Removal=45%, Iteration=13
Saved graph: Nodes=90, Removal=45%, Iteration=16
Saved graph: Nodes=90, Removal=60%, Iteration=13
Saved graph: Nodes=90, Removal=45%, Iteration=22
Saved graph: Nodes=90, Removal=45%, Iteration=19
Saved graph: Nodes=90, Removal=45%, Iteration=18
Saved graph: Nodes=90, Removal=45%, Iteration=25
Saved graph: Nodes=90, Removal=45%, Iteration=26
Saved graph: Nodes=90, Removal=45%, Iteration=23
Saved graph: Nodes=90, Removal=45%, Iteration=20
Saved graph: Nodes=90, Removal=60%, Iteration=3
Saved graph: Nodes=90, Removal=45%, Iteration=27
Saved graph: Nodes=90, Removal=45%, Iteration=30
Saved graph: Nodes=90, Removal=45%, Iteration=28
Saved graph: Nodes=90, Removal=45%, Iteration=29
Saved graph: Nodes=90, Removal=45%, Iteration=24
Saved graph: Nodes=90, Removal=60%, Iteration=21
Saved graph: Nodes=90, Removal=45%, Iteration=21
Saved graph: Nodes=90, Removal=55%, Iteration=2
Saved graph: Nodes=90, Removal=40%, Iteration=7
Saved graph: Nodes=90, Removal=55%, Iteration=3
Saved graph: Nodes=90, Removal=50%, Iteration=10
Saved graph: Nodes=90, Removal=50%, Iteration=24
Saved graph: Nodes=90, Removal=55%, Iteration=4
Saved graph: Nodes=90, Removal=55%, Iteration=5
Saved graph: Nodes=90, Removal=50%, Iteration=23
Saved graph: Nodes=90, Removal=55%, Iteration=1
Saved graph: Nodes=90, Removal=50%, Iteration=27
Saved graph: Nodes=90, Removal=55%, Iteration=7
Saved graph: Nodes=90, Removal=50%, Iteration=6
Saved graph: Nodes=90, Removal=50%, Iteration=30
Saved graph: Nodes=90, Removal=50%, Iteration=1
Saved graph: Nodes=90, Removal=55%, Iteration=6
Saved graph: Nodes=90, Removal=50%, Iteration=22
Saved graph: Nodes=90, Removal=50%, Iteration=13
Saved graph: Nodes=90, Removal=50%, Iteration=21
Saved graph: Nodes=90, Removal=50%, Iteration=18
Saved graph: Nodes=90, Removal=50%, Iteration=17
Saved graph: Nodes=90, Removal=50%, Iteration=14
Saved graph: Nodes=90, Removal=50%, Iteration=29
