Running job on gpu-5-11
Requested resources:
  - CPUs: 64
  - GPUs: 
  - Memory: 64000
Node counts to process: [30, 35, 40]
Processed generated_graphs/nodes_40/removal_55percent/graph_42.edgelist: Greedy MIS size = 7
Processed generated_graphs/nodes_40/removal_70percent/graph_1.edgelist: Greedy MIS size = 10
Processed generated_graphs/nodes_40/removal_80percent/graph_29.edgelist: Greedy MIS size = 14
Processed generated_graphs/nodes_30/removal_20percent/graph_47.edgelist: Greedy MIS size = 4
Processed generated_graphs/nodes_30/removal_35percent/graph_42.edgelist: Greedy MIS size = 4
Processed generated_graphs/nodes_30/removal_55percent/graph_14.edgelist: Greedy MIS size = 6
Processed generated_graphs/nodes_30/removal_60percent/graph_9.edgelist: Greedy MIS size = 7
Processed generated_graphs/nodes_30/removal_75percent/graph_17.edgelist: Greedy MIS size = 10
Processed generated_graphs/nodes_30/removal_85percent/graph_11.edgelist: Greedy MIS size = 11
Processed generated_graphs/nodes_35/removal_25percent/graph_20.edgelist: Greedy MIS size = 4
Processed generated_graphs/nodes_35/removal_35percent/graph_23.edgelist: Greedy MIS size = 4
Processed generated_graphs/nodes_35/removal_50percent/graph_19.edgelist: Greedy MIS size = 8
Processed generated_graphs/nodes_35/removal_60percent/graph_48.edgelist: Greedy MIS size = 7
Processed generated_graphs/nodes_35/removal_85percent/graph_24.edgelist: Greedy MIS size = 15
Processed generated_graphs/nodes_40/removal_20percent/graph_40.edgelist: Greedy MIS size = 4
Processed generated_graphs/nodes_40/removal_30percent/graph_8.edgelist: Greedy MIS size = 4
Processed generated_graphs/nodes_40/removal_55percent/graph_4.edgelist: Greedy MIS size = 7
Processed generated_graphs/nodes_40/removal_65percent/graph_50.edgelist: Greedy MIS size = 8
Processed generated_graphs/nodes_40/removal_75percent/graph_12.edgelist: Greedy MIS size = 12
Processed generated_graphs/nodes_30/removal_20percent/graph_50.edgelist: Greedy MIS size = 4
Processed generated_graphs/nodes_30/removal_35percent/graph_27.edgelist: Greedy MIS size = 6
Processed generated_graphs/nodes_30/removal_50percent/graph_42.edgelist: Greedy MIS size = 7
Processed generated_graphs/nodes_30/removal_60percent/graph_48.edgelist: Greedy MIS size = 7
Processed generated_graphs/nodes_30/removal_75percent/graph_4.edgelist: Greedy MIS size = 10
Processed generated_graphs/nodes_30/removal_85percent/graph_42.edgelist: Greedy MIS size = 11
Processed generated_graphs/nodes_35/removal_20percent/graph_45.edgelist: Greedy MIS size = 4
Processed generated_graphs/nodes_35/removal_35percent/graph_5.edgelist: Greedy MIS size = 4
