Running job on gpu-3-01
Requested resources:
  - CPUs: 32
  - GPUs: 
  - Memory: 64000
modelTrain_prob.py:229: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
  model.load_state_dict(torch.load(MODEL_SAVE_PATH))
Warning: JSON file 'mis_results_grouped_v3/nodes_80_removal_85percent.json' does not exist. Skipping.
Warning: JSON file 'mis_results_grouped_v3/nodes_85_removal_85percent.json' does not exist. Skipping.
Warning: JSON file 'mis_results_grouped_v3/nodes_90_removal_80percent.json' does not exist. Skipping.
Warning: JSON file 'mis_results_grouped_v3/nodes_90_removal_85percent.json' does not exist. Skipping.
Total JSON files found: 251
Total edgelist directories found: 251
Total graphs in dataset: 39900
Train Dataset Size: 31920
Validation Dataset Size: 7980

Calculating baseline MAE (predicting 0.5 for every node):
Baseline Training MAE: 0.4161
Baseline Validation MAE: 0.4170
Epoch 019 | Train Loss: 0.3557 | Validation Loss: 0.3534 | Validation MAE: 0.1519
Epoch 020 | Train Loss: 0.3551 | Validation Loss: 0.3541 | Validation MAE: 0.1447
Epoch 021 | Train Loss: 0.3544 | Validation Loss: 0.3531 | Validation MAE: 0.1451
Epoch 022 | Train Loss: 0.3537 | Validation Loss: 0.3523 | Validation MAE: 0.1450
Epoch 023 | Train Loss: 0.3532 | Validation Loss: 0.3542 | Validation MAE: 0.1570
Epoch 024 | Train Loss: 0.3525 | Validation Loss: 0.3517 | Validation MAE: 0.1530
Epoch 025 | Train Loss: 0.3525 | Validation Loss: 0.3498 | Validation MAE: 0.1471
Epoch 026 | Train Loss: 0.3517 | Validation Loss: 0.3495 | Validation MAE: 0.1449
Epoch 027 | Train Loss: 0.3517 | Validation Loss: 0.3505 | Validation MAE: 0.1518
Epoch 028 | Train Loss: 0.3513 | Validation Loss: 0.3509 | Validation MAE: 0.1533
Epoch 029 | Train Loss: 0.3503 | Validation Loss: 0.3558 | Validation MAE: 0.1379
Epoch 030 | Train Loss: 0.3503 | Validation Loss: 0.3515 | Validation MAE: 0.1391
Epoch 031 | Train Loss: 0.3502 | Validation Loss: 0.3482 | Validation MAE: 0.1478
Epoch 032 | Train Loss: 0.3499 | Validation Loss: 0.3491 | Validation MAE: 0.1402
Epoch 033 | Train Loss: 0.3499 | Validation Loss: 0.3479 | Validation MAE: 0.1416
Epoch 034 | Train Loss: 0.3491 | Validation Loss: 0.3486 | Validation MAE: 0.1498
Epoch 035 | Train Loss: 0.3492 | Validation Loss: 0.3593 | Validation MAE: 0.1654
Epoch 036 | Train Loss: 0.3490 | Validation Loss: 0.3531 | Validation MAE: 0.1577
Epoch 037 | Train Loss: 0.3491 | Validation Loss: 0.3483 | Validation MAE: 0.1503
Epoch 038 | Train Loss: 0.3487 | Validation Loss: 0.3463 | Validation MAE: 0.1419
Epoch 039 | Train Loss: 0.3482 | Validation Loss: 0.3468 | Validation MAE: 0.1398
Epoch 040 | Train Loss: 0.3480 | Validation Loss: 0.3471 | Validation MAE: 0.1482
Epoch 041 | Train Loss: 0.3481 | Validation Loss: 0.3491 | Validation MAE: 0.1370
Epoch 042 | Train Loss: 0.3474 | Validation Loss: 0.3512 | Validation MAE: 0.1557
Epoch 043 | Train Loss: 0.3478 | Validation Loss: 0.3575 | Validation MAE: 0.1344
Epoch 044 | Train Loss: 0.3476 | Validation Loss: 0.3455 | Validation MAE: 0.1401
Epoch 045 | Train Loss: 0.3474 | Validation Loss: 0.3483 | Validation MAE: 0.1513
Epoch 046 | Train Loss: 0.3470 | Validation Loss: 0.3497 | Validation MAE: 0.1532
Epoch 047 | Train Loss: 0.3472 | Validation Loss: 0.3487 | Validation MAE: 0.1524
Epoch 048 | Train Loss: 0.3472 | Validation Loss: 0.3453 | Validation MAE: 0.1453
Epoch 049 | Train Loss: 0.3467 | Validation Loss: 0.3497 | Validation MAE: 0.1537
Epoch 050 | Train Loss: 0.3466 | Validation Loss: 0.3492 | Validation MAE: 0.1533
Epoch 051 | Train Loss: 0.3467 | Validation Loss: 0.3445 | Validation MAE: 0.1401
Epoch 052 | Train Loss: 0.3468 | Validation Loss: 0.3470 | Validation MAE: 0.1368
Epoch 053 | Train Loss: 0.3463 | Validation Loss: 0.3446 | Validation MAE: 0.1393
