Running job on gpu-5-11
Requested resources:
  - CPUs: 64
  - GPUs: 
  - Memory: 64000
Node counts to process: [100, 105, 110, 115, 120, 125, 130, 135, 140, 145, 150]
Removal percentages to process: [15, 20, 25, 30, 35, 40, 45, 50, 55, 60, 65, 70, 75, 80, 85]%
Base directory: generated_graphs
Output directory: greedy_mis_results_grouped
Total tasks to process: 8250
Using 128 processes for parallel computation.
Processed generated_graphs/nodes_150/removal_15percent/graph_36.edgelist: Greedy MIS size = 4
Processed generated_graphs/nodes_150/removal_35percent/graph_3.edgelist: Greedy MIS size = 6
Processed generated_graphs/nodes_150/removal_50percent/graph_18.edgelist: Greedy MIS size = 9
Processed generated_graphs/nodes_150/removal_65percent/graph_11.edgelist: Greedy MIS size = 11
Processed generated_graphs/nodes_150/removal_75percent/graph_19.edgelist: Greedy MIS size = 17
Processed generated_graphs/nodes_100/removal_20percent/graph_31.edgelist: Greedy MIS size = 4
Processed generated_graphs/nodes_100/removal_30percent/graph_35.edgelist: Greedy MIS size = 5
Processed generated_graphs/nodes_100/removal_45percent/graph_47.edgelist: Greedy MIS size = 8
Processed generated_graphs/nodes_100/removal_60percent/graph_29.edgelist: Greedy MIS size = 9
Processed generated_graphs/nodes_100/removal_80percent/graph_11.edgelist: Greedy MIS size = 19
Processed generated_graphs/nodes_105/removal_15percent/graph_5.edgelist: Greedy MIS size = 4
Processed generated_graphs/nodes_105/removal_30percent/graph_3.edgelist: Greedy MIS size = 5
Processed generated_graphs/nodes_105/removal_40percent/graph_31.edgelist: Greedy MIS size = 6
Processed generated_graphs/nodes_105/removal_55percent/graph_48.edgelist: Greedy MIS size = 9
Processed generated_graphs/nodes_105/removal_70percent/graph_28.edgelist: Greedy MIS size = 12
Processed generated_graphs/nodes_105/removal_85percent/graph_41.edgelist: Greedy MIS size = 21
Processed generated_graphs/nodes_110/removal_25percent/graph_1.edgelist: Greedy MIS size = 5
Processed generated_graphs/nodes_110/removal_35percent/graph_11.edgelist: Greedy MIS size = 5
Processed generated_graphs/nodes_110/removal_40percent/graph_49.edgelist: Greedy MIS size = 7
