Coefficient,Nodes,Trial,Epsilon,Seed,GroundTruth_MIS,Greedy_MIS,Size_S,Oracle_MIS,Improvement
3.0,90000,0,0.025,0,45000,42675,90000,42675,0
2.0,90000,0,0.025,0,45000,42672,90000,42672,0
4.0,90000,0,0.025,0,45000,44065,90000,44065,0
3.0,90000,0,0.05,0,45000,42675,90000,42675,0
4.0,90000,0,0.05,0,45000,44065,90000,44065,0
2.0,90000,0,0.05,0,45000,42672,90000,42672,0
3.0,90000,0,0.075,0,45000,42675,90000,42675,0
4.0,90000,0,0.075,0,45000,44065,90000,44065,0
3.0,90000,0,0.1,0,45000,42675,89975,42598,-77
4.0,90000,0,0.1,0,45000,44065,89977,44043,-22
5.0,90000,0,0.025,0,45000,44551,90000,44551,0
2.0,90000,0,0.075,0,45000,42672,89996,42668,-4
3.0,90000,0,0.125,0,45000,42675,89788,42840,165
4.0,90000,0,0.125,0,45000,44065,89757,43620,-445
5.0,90000,0,0.05,0,45000,44551,90000,44551,0
3.0,90000,0,0.15,0,45000,42675,88766,42840,165
4.0,90000,0,0.15,0,45000,44065,88204,43513,-552
2.0,90000,0,0.1,0,45000,42672,89959,42592,-80
5.0,90000,0,0.075,0,45000,44551,89999,44550,-1
3.0,90000,0,0.175,0,45000,42675,85014,44524,1849
4.0,90000,0,0.175,0,45000,44065,83708,44908,843
2.0,90000,0,0.125,0,45000,42672,89735,42108,-564
7.0,90000,0,0.025,0,45000,44278,90000,44278,0
3.0,90000,0,0.2,0,45000,42675,78002,44975,2300
5.0,90000,0,0.1,0,45000,44551,89981,44532,-19
4.0,90000,0,0.2,0,45000,44065,74007,44994,929
7.0,90000,0,0.05,0,45000,44278,90000,44278,0
3.0,90000,0,0.225,0,45000,42675,67919,44995,2320
4.0,90000,0,0.225,0,45000,44065,62136,44996,931
5.0,90000,0,0.125,0,45000,44551,89705,44103,-448
2.0,90000,0,0.15,0,45000,42672,88758,42661,-11
7.0,90000,0,0.075,0,45000,44278,90000,44278,0
3.0,90000,0,0.25,0,45000,42675,57244,44979,2304
4.0,90000,0,0.25,0,45000,44065,52386,44990,925
5.0,90000,0,0.15,0,45000,44551,87699,44289,-262
7.0,90000,0,0.1,0,45000,44278,89975,44254,-24
3.0,90000,1,0.025,42,45000,42882,90000,42882,0
4.0,90000,1,0.025,42,45000,43788,90000,43788,0
2.0,90000,0,0.175,0,45000,42672,86620,42674,2
6.0,90000,0,0.025,0,45000,44101,90000,44101,0
7.0,90000,0,0.125,0,45000,44278,89505,43276,-1002
9.0,90000,0,0.025,0,45000,44048,90000,44048,0
8.0,90000,0,0.025,0,45000,44234,90000,44234,0
5.0,90000,0,0.175,0,45000,44551,81462,44973,422
3.0,90000,1,0.05,42,45000,42882,90000,42882,0
4.0,90000,1,0.05,42,45000,43788,90000,43788,0
11.0,90000,0,0.025,0,45000,43954,90000,43954,0
10.0,90000,0,0.025,0,45000,44193,90000,44193,0
12.0,90000,0,0.025,0,45000,44036,90000,44036,0
13.0,90000,0,0.025,0,45000,44467,90000,44467,0
15.0,90000,0,0.025,0,45000,44053,90000,44053,0
14.0,90000,0,0.025,0,45000,44274,90000,44274,0
7.0,90000,0,0.15,0,45000,44278,86155,44878,600
6.0,90000,0,0.05,0,45000,44101,90000,44101,0
9.0,90000,0,0.05,0,45000,44048,90000,44048,0
8.0,90000,0,0.05,0,45000,44234,90000,44234,0
3.0,90000,1,0.075,42,45000,42882,89998,42862,-20
4.0,90000,1,0.075,42,45000,43788,89999,43787,-1
2.0,90000,0,0.2,0,45000,42672,81216,44722,2050
5.0,90000,0,0.2,0,45000,44551,69624,45000,449
11.0,90000,0,0.05,0,45000,43954,90000,43954,0
12.0,90000,0,0.05,0,45000,44036,90000,44036,0
10.0,90000,0,0.05,0,45000,44193,90000,44193,0
13.0,90000,0,0.05,0,45000,44467,90000,44467,0
9.0,90000,0,0.075,0,45000,44048,89999,44047,-1
15.0,90000,0,0.05,0,45000,44053,90000,44053,0
7.0,90000,0,0.175,0,45000,44278,76081,45000,722
8.0,90000,0,0.075,0,45000,44234,90000,44234,0
14.0,90000,0,0.05,0,45000,44274,90000,44274,0
3.0,90000,1,0.1,42,45000,42882,89975,42793,-89
4.0,90000,1,0.1,42,45000,43788,89981,43742,-46
6.0,90000,0,0.075,0,45000,44101,90000,44101,0
5.0,90000,0,0.225,0,45000,44551,57194,45000,449
9.0,90000,0,0.1,0,45000,44048,89964,43872,-176
8.0,90000,0,0.1,0,45000,44234,89968,44203,-31
7.0,90000,0,0.2,0,45000,44278,60958,45000,722
11.0,90000,0,0.075,0,45000,43954,90000,43954,0
2.0,90000,0,0.225,0,45000,42672,73737,44948,2276
12.0,90000,0,0.075,0,45000,44036,90000,44036,0
10.0,90000,0,0.075,0,45000,44193,90000,44193,0
13.0,90000,0,0.075,0,45000,44467,90000,44467,0
3.0,90000,1,0.125,42,45000,42882,89749,42028,-854
15.0,90000,0,0.075,0,45000,44053,90000,44053,0
4.0,90000,1,0.125,42,45000,43788,89723,43330,-458
14.0,90000,0,0.075,0,45000,44274,89999,44274,0
6.0,90000,0,0.1,0,45000,44101,89977,44078,-23
9.0,90000,0,0.125,0,45000,44048,89204,44058,10
7.0,90000,0,0.225,0,45000,44278,50154,45000,722
8.0,90000,0,0.125,0,45000,44234,89357,44153,-81
5.0,90000,0,0.25,0,45000,44551,49481,44996,445
11.0,90000,0,0.1,0,45000,43954,89936,43954,0
3.0,90000,1,0.15,42,45000,42882,88755,42819,-63
4.0,90000,1,0.15,42,45000,43788,88307,43801,13
12.0,90000,0,0.1,0,45000,44036,89942,44036,0
10.0,90000,0,0.1,0,45000,44193,89953,44147,-46
13.0,90000,0,0.1,0,45000,44467,89916,44467,0
9.0,90000,0,0.15,0,45000,44048,83855,45000,952
7.0,90000,0,0.25,0,45000,44278,46066,44999,721
15.0,90000,0,0.1,0,45000,44053,89872,44215,162
8.0,90000,0,0.15,0,45000,44234,85040,44979,745
2.0,90000,0,0.25,0,45000,42672,65624,44960,2288
6.0,90000,0,0.125,0,45000,44101,89565,43329,-772
14.0,90000,0,0.1,0,45000,44274,89899,44274,0
5.0,90000,1,0.025,42,45000,44371,90000,44371,0
4.0,90000,1,0.175,42,45000,43788,83851,44938,1150
3.0,90000,1,0.175,42,45000,42882,85104,44615,1733
11.0,90000,0,0.125,0,45000,43954,88739,44689,735
9.0,90000,0,0.175,0,45000,44048,69936,45000,952
7.0,90000,1,0.025,42,45000,43881,90000,43881,0
12.0,90000,0,0.125,0,45000,44036,88448,44728,692
8.0,90000,0,0.175,0,45000,44234,72994,45000,766
10.0,90000,0,0.125,0,45000,44193,89029,44470,277
13.0,90000,0,0.125,0,45000,44467,88009,45000,533
15.0,90000,0,0.125,0,45000,44053,87154,45000,947
6.0,90000,0,0.15,0,45000,44101,87011,44699,598
4.0,90000,1,0.2,42,45000,43788,74308,44998,1210
3.0,90000,1,0.2,42,45000,42882,78206,44973,2091
14.0,90000,0,0.125,0,45000,44274,87592,45000,726
9.0,90000,0,0.2,0,45000,44048,54272,45000,952
2.0,90000,1,0.025,42,45002,42612,90000,42612,0
5.0,90000,1,0.05,42,45000,44371,90000,44371,0
7.0,90000,1,0.05,42,45000,43881,90000,43881,0
8.0,90000,0,0.2,0,45000,44234,57427,45000,766
11.0,90000,0,0.15,0,45000,43954,80695,45000,1046
12.0,90000,0,0.15,0,45000,44036,78891,45000,964
10.0,90000,0,0.15,0,45000,44193,82282,45000,807
13.0,90000,0,0.15,0,45000,44467,76928,45000,533
9.0,90000,0,0.225,0,45000,44048,46927,45000,952
4.0,90000,1,0.225,42,45000,43788,62505,44998,1210
8.0,90000,0,0.225,0,45000,44234,48186,45000,766
3.0,90000,1,0.225,42,45000,42882,68202,44994,2112
15.0,90000,0,0.15,0,45000,44053,72834,45000,947
