n=90000, coeff=13.0, trial=8, GT MIS=45000, Greedy MIS=44539, |S|=89888, Oracle MIS=44296, Improvement=-243
n=90000, coeff=13.0, trial=8, GT MIS=45000, Greedy MIS=44539, |S|=87983, Oracle MIS=44920, Improvement=381
n=90000, coeff=13.0, trial=8, GT MIS=45000, Greedy MIS=44539, |S|=76934, Oracle MIS=45000, Improvement=461
n=90000, coeff=13.0, trial=8, GT MIS=45000, Greedy MIS=44539, |S|=58131, Oracle MIS=45000, Improvement=461
n=90000, coeff=13.0, trial=8, GT MIS=45000, Greedy MIS=44539, |S|=47408, Oracle MIS=45000, Improvement=461
n=90000, coeff=13.0, trial=8, GT MIS=45000, Greedy MIS=44539, |S|=45176, Oracle MIS=45000, Improvement=461
n=90000, coeff=13.0, trial=8, GT MIS=45000, Greedy MIS=44539, |S|=45007, Oracle MIS=45000, Improvement=461
n=90000, coeff=13.0, trial=9, GT MIS=45000, Greedy MIS=44528, |S|=90000, Oracle MIS=44528, Improvement=0
n=90000, coeff=13.0, trial=9, GT MIS=45000, Greedy MIS=44528, |S|=90000, Oracle MIS=44528, Improvement=0
n=90000, coeff=13.0, trial=9, GT MIS=45000, Greedy MIS=44528, |S|=90000, Oracle MIS=44528, Improvement=0
n=90000, coeff=13.0, trial=9, GT MIS=45000, Greedy MIS=44528, |S|=89912, Oracle MIS=44441, Improvement=-87
n=90000, coeff=13.0, trial=9, GT MIS=45000, Greedy MIS=44528, |S|=88331, Oracle MIS=44670, Improvement=142
n=90000, coeff=13.0, trial=9, GT MIS=45000, Greedy MIS=44528, |S|=78164, Oracle MIS=45000, Improvement=472
n=90000, coeff=13.0, trial=9, GT MIS=45000, Greedy MIS=44528, |S|=59214, Oracle MIS=45000, Improvement=472
n=90000, coeff=13.0, trial=9, GT MIS=45000, Greedy MIS=44528, |S|=47763, Oracle MIS=45000, Improvement=472
n=90000, coeff=13.0, trial=9, GT MIS=45000, Greedy MIS=44528, |S|=45235, Oracle MIS=45000, Improvement=472
n=90000, coeff=13.0, trial=9, GT MIS=45000, Greedy MIS=44528, |S|=45017, Oracle MIS=45000, Improvement=472
Results saved to bipartite_experiment_results_epislons_90000.csv
