Coefficient,Nodes,Trial,Epsilon,Seed,GroundTruth_MIS,Greedy_MIS,Size_S,Oracle_MIS,Improvement
1,40000,0,0.025,0,20116,20116,39999,20116,0
1,40000,0,0.05,0,20116,20116,39996,20116,0
1,40000,0,0.075,0,20116,20116,39980,20115,-1
1,40000,0,0.1,0,20116,20116,39907,20113,-3
1,40000,0,0.125,0,20116,20116,39778,20112,-4
1,40000,0,0.15,0,20116,20116,39308,20109,-7
1,40000,0,0.175,0,20116,20116,38605,20102,-14
1,40000,0,0.2,0,20116,20116,37140,20068,-48
1,40000,0,0.225,0,20116,20116,34822,20031,-85
1,40000,0,0.25,0,20116,20116,31985,19971,-145
1,40000,1,0.025,42,20116,20098,39999,20097,-1
1,40000,1,0.05,42,20116,20098,39994,20092,-6
1,40000,1,0.075,42,20116,20098,39978,20078,-20
1,40000,1,0.1,42,20116,20098,39905,20007,-91
1,40000,1,0.125,42,20116,20098,39736,19851,-247
1,40000,1,0.15,42,20116,20098,39243,19396,-702
1,40000,1,0.175,42,20116,20098,38460,18699,-1399
1,40000,1,0.2,42,20116,20098,36875,17380,-2718
1,40000,1,0.225,42,20116,20098,34386,20057,-41
1,40000,1,0.25,42,20116,20098,31464,19994,-104
1,40000,2,0.025,84,20127,20127,40000,20127,0
1,40000,2,0.05,84,20127,20127,39998,20127,0
