Coefficient,Nodes,Trial,Epsilon,Seed,GroundTruth_MIS,Greedy_MIS,Size_S,Oracle_MIS,Improvement
1,500,0,0.025,0,267,264,500,264,0
1,500,0,0.05,0,267,264,500,264,0
1,500,0,0.075,0,267,264,500,264,0
1,500,0,0.1,0,267,264,494,262,-2
1,500,0,0.125,0,267,264,490,261,-3
1,500,0,0.15,0,267,264,482,259,-5
1,500,0,0.175,0,267,264,468,266,2
1,500,0,0.2,0,267,264,454,266,2
1,500,0,0.225,0,267,264,423,267,3
1,500,0,0.25,0,267,264,395,264,0
1,500,1,0.025,42,267,267,500,267,0
1,500,1,0.05,42,267,267,500,267,0
1,500,1,0.075,42,267,267,499,267,0
1,500,1,0.1,42,267,267,496,267,0
1,500,1,0.125,42,267,267,493,267,0
1,500,1,0.15,42,267,267,493,267,0
1,500,1,0.175,42,267,267,484,264,-3
1,500,1,0.2,42,267,267,462,264,-3
1,500,1,0.225,42,267,267,448,264,-3
1,500,1,0.25,42,267,267,427,262,-5
1,500,2,0.025,84,267,263,500,263,0
1,500,2,0.05,84,267,263,500,263,0
1,500,2,0.075,84,267,263,498,261,-2
1,500,2,0.1,84,267,263,496,261,-2
1,500,2,0.125,84,267,263,490,261,-2
1,500,2,0.15,84,267,263,485,260,-3
1,500,2,0.175,84,267,263,469,265,2
1,500,2,0.2,84,267,263,457,264,1
1,500,2,0.225,84,267,263,431,265,2
1,500,2,0.25,84,267,263,400,266,3
1,500,3,0.025,126,267,264,500,264,0
1,500,3,0.05,126,267,264,499,263,-1
1,500,3,0.075,126,267,264,498,262,-2
1,500,3,0.1,126,267,264,496,261,-3
1,500,3,0.125,126,267,264,490,264,0
1,500,3,0.15,126,267,264,485,264,0
1,500,3,0.175,126,267,264,467,267,3
1,500,3,0.2,126,267,264,457,266,2
1,500,3,0.225,126,267,264,417,261,-3
1,500,3,0.25,126,267,264,388,258,-6
1,500,4,0.025,168,268,263,500,263,0
1,500,4,0.05,168,268,263,499,262,-1
1,500,4,0.075,168,268,263,499,262,-1
1,500,4,0.1,168,268,263,492,266,3
1,500,4,0.125,168,268,263,490,266,3
1,500,4,0.15,168,268,263,476,266,3
1,500,4,0.175,168,268,263,464,266,3
1,500,4,0.2,168,268,263,461,267,4
1,500,4,0.225,168,268,263,425,265,2
1,500,4,0.25,168,268,263,395,263,0
2,500,0,0.025,0,250,250,500,250,0
2,500,0,0.05,0,250,250,500,250,0
2,500,0,0.075,0,250,250,500,250,0
2,500,0,0.1,0,250,250,500,250,0
2,500,0,0.125,0,250,250,496,247,-3
2,500,0,0.15,0,250,250,492,242,-8
2,500,0,0.175,0,250,250,479,231,-19
2,500,0,0.2,0,250,250,456,212,-38
2,500,0,0.225,0,250,250,423,250,0
2,500,0,0.25,0,250,250,387,249,-1
