Coefficient,Nodes,Trial,Epsilon,Seed,GroundTruth_MIS,Greedy_MIS,Size_S,Oracle_MIS,Improvement
1,55000,0,0.025,0,27638,27638,54999,27638,0
8,55000,0,0.025,0,27500,27057,55000,27057,0
8,55000,0,0.05,0,27500,27057,55000,27057,0
1,55000,0,0.05,0,27638,27638,54996,27638,0
8,55000,0,0.075,0,27500,27057,55000,27057,0
1,55000,0,0.075,0,27638,27638,54980,27636,-2
8,55000,0,0.1,0,27500,27057,54983,27040,-17
1,55000,0,0.1,0,27638,27638,54920,27637,-1
8,55000,0,0.125,0,27500,27057,54675,26586,-471
1,55000,0,0.125,0,27638,27638,54657,27627,-11
8,55000,0,0.15,0,27500,27057,52423,27482,425
1,55000,0,0.15,0,27638,27638,54257,27625,-13
8,55000,0,0.175,0,27500,27057,45391,27500,443
1,55000,0,0.175,0,27638,27638,52826,27599,-39
8,55000,0,0.2,0,27500,27057,36441,27500,443
1,55000,0,0.2,0,27638,27638,51375,27588,-50
8,55000,0,0.225,0,27500,27057,30088,27500,443
1,55000,0,0.225,0,27638,27638,47501,27539,-99
8,55000,0,0.25,0,27500,27057,27916,27499,442
1,55000,0,0.25,0,27638,27638,45295,27511,-127
8,55000,1,0.025,42,27500,26769,55000,26769,0
1,55000,1,0.025,42,27633,27626,55000,27626,0
8,55000,1,0.05,42,27500,26769,55000,26769,0
1,55000,1,0.05,42,27633,27626,54997,27623,-3
8,55000,1,0.075,42,27500,26769,55000,26769,0
1,55000,1,0.075,42,27633,27626,54967,27594,-32
8,55000,1,0.1,42,27500,26769,54981,26769,0
1,55000,1,0.1,42,27633,27626,54894,27522,-104
8,55000,1,0.125,42,27500,26769,54609,26769,0
1,55000,1,0.125,42,27633,27626,54650,27297,-329
8,55000,1,0.15,42,27500,26769,52072,27482,713
1,55000,1,0.15,42,27633,27626,54175,26852,-774
8,55000,1,0.175,42,27500,26769,44639,27500,731
8,55000,1,0.2,42,27500,26769,35587,27500,731
1,55000,1,0.175,42,27633,27626,52614,25422,-2204
8,55000,1,0.225,42,27500,26769,29748,27500,731
1,55000,1,0.2,42,27633,27626,50990,24026,-3600
8,55000,1,0.25,42,27500,26769,27906,27500,731
1,55000,1,0.225,42,27633,27626,46887,27532,-94
8,55000,2,0.025,84,27500,26273,55000,26273,0
1,55000,1,0.25,42,27633,27626,44689,27516,-110
8,55000,2,0.05,84,27500,26273,55000,26273,0
1,55000,2,0.025,84,27641,27641,54998,27641,0
8,55000,2,0.075,84,27500,26273,55000,26273,0
1,55000,2,0.05,84,27641,27641,54997,27641,0
8,55000,2,0.1,84,27500,26273,54974,26273,0
1,55000,2,0.075,84,27641,27641,54978,27641,0
8,55000,2,0.125,84,27500,26273,54582,26294,21
1,55000,2,0.1,84,27641,27641,54920,27637,-4
8,55000,2,0.15,84,27500,26273,52043,27500,1227
1,55000,2,0.125,84,27641,27641,54699,27634,-7
8,55000,2,0.175,84,27500,26273,44597,27500,1227
1,55000,2,0.15,84,27641,27641,54269,27632,-9
8,55000,2,0.2,84,27500,26273,35261,27500,1227
1,55000,2,0.175,84,27641,27641,52935,27620,-21
8,55000,2,0.225,84,27500,26273,29737,27500,1227
8,55000,2,0.25,84,27500,26273,27904,27500,1227
1,55000,2,0.2,84,27641,27641,51481,27605,-36
8,55000,3,0.025,126,27500,27032,55000,27032,0
1,55000,2,0.225,84,27641,27641,47588,27565,-76
8,55000,3,0.05,126,27500,27032,55000,27032,0
1,55000,2,0.25,84,27641,27641,45417,27537,-104
8,55000,3,0.075,126,27500,27032,55000,27032,0
1,55000,3,0.025,126,27621,27613,54999,27612,-1
8,55000,3,0.1,126,27500,27032,54979,27032,0
1,55000,3,0.05,126,27621,27613,54995,27608,-5
8,55000,3,0.125,126,27500,27032,54629,27032,0
1,55000,3,0.075,126,27621,27613,54981,27597,-16
8,55000,3,0.15,126,27500,27032,52250,27500,468
1,55000,3,0.1,126,27621,27613,54902,27525,-88
8,55000,3,0.175,126,27500,27032,45389,27500,468
1,55000,3,0.125,126,27621,27613,54642,27283,-330
8,55000,3,0.2,126,27500,27032,36329,27500,468
1,55000,3,0.15,126,27621,27613,54204,26870,-743
8,55000,3,0.225,126,27500,27032,30008,27499,467
1,55000,3,0.175,126,27621,27613,52661,25462,-2151
8,55000,3,0.25,126,27500,27032,27945,27499,467
1,55000,3,0.2,126,27621,27613,51131,24144,-3469
8,55000,4,0.025,168,27500,26746,55000,26746,0
1,55000,3,0.225,126,27621,27613,48480,22199,-5414
8,55000,4,0.05,168,27500,26746,55000,26746,0
1,55000,3,0.25,126,27621,27613,44846,27500,-113
8,55000,4,0.075,168,27500,26746,55000,26746,0
1,55000,4,0.025,168,27631,27619,54999,27618,-1
8,55000,4,0.1,168,27500,26746,54990,26746,0
1,55000,4,0.05,168,27631,27619,54993,27613,-6
8,55000,4,0.125,168,27500,26746,54637,26746,0
1,55000,4,0.075,168,27631,27619,54965,27590,-29
8,55000,4,0.15,168,27500,26746,52281,27441,695
1,55000,4,0.1,168,27631,27619,54901,27532,-87
8,55000,4,0.175,168,27500,26746,45290,27500,754
1,55000,4,0.125,168,27631,27619,54631,27277,-342
8,55000,4,0.2,168,27500,26746,36157,27500,754
1,55000,4,0.15,168,27631,27619,54131,26808,-811
8,55000,4,0.225,168,27500,26746,29891,27500,754
1,55000,4,0.175,168,27631,27619,52683,25499,-2120
8,55000,4,0.25,168,27500,26746,27915,27500,754
1,55000,4,0.2,168,27631,27619,51132,24144,-3475
