Running job on compute-0-01
Requested resources:
  - CPUs: 12
  - GPUs: 
  - Memory: 18000
Skipping n=80000, coeff=11.0, trial=5, epsilon=0.25 as entry already exists.
Skipping n=80000, coeff=11.0, trial=6, epsilon=0.025 as entry already exists.
Skipping n=80000, coeff=11.0, trial=6, epsilon=0.05 as entry already exists.
Skipping n=80000, coeff=11.0, trial=6, epsilon=0.075 as entry already exists.
Skipping n=80000, coeff=11.0, trial=6, epsilon=0.1 as entry already exists.
Skipping n=80000, coeff=11.0, trial=6, epsilon=0.125 as entry already exists.
Skipping n=80000, coeff=11.0, trial=6, epsilon=0.15 as entry already exists.
Skipping n=80000, coeff=11.0, trial=6, epsilon=0.175 as entry already exists.
Skipping n=80000, coeff=11.0, trial=6, epsilon=0.2 as entry already exists.
Skipping n=80000, coeff=11.0, trial=6, epsilon=0.225 as entry already exists.
Skipping n=80000, coeff=11.0, trial=6, epsilon=0.25 as entry already exists.
Skipping n=80000, coeff=11.0, trial=7, epsilon=0.025 as entry already exists.
Skipping n=80000, coeff=11.0, trial=7, epsilon=0.05 as entry already exists.
Skipping n=80000, coeff=11.0, trial=7, epsilon=0.075 as entry already exists.
Skipping n=80000, coeff=11.0, trial=7, epsilon=0.1 as entry already exists.
Skipping n=80000, coeff=11.0, trial=7, epsilon=0.125 as entry already exists.
Skipping n=80000, coeff=11.0, trial=7, epsilon=0.15 as entry already exists.
Skipping n=80000, coeff=11.0, trial=7, epsilon=0.175 as entry already exists.
Skipping n=80000, coeff=11.0, trial=7, epsilon=0.2 as entry already exists.
Skipping n=80000, coeff=11.0, trial=7, epsilon=0.225 as entry already exists.
Skipping n=80000, coeff=11.0, trial=7, epsilon=0.25 as entry already exists.
Skipping n=80000, coeff=11.0, trial=8, epsilon=0.025 as entry already exists.
Skipping n=80000, coeff=11.0, trial=8, epsilon=0.05 as entry already exists.
Skipping n=80000, coeff=11.0, trial=8, epsilon=0.075 as entry already exists.
Skipping n=80000, coeff=11.0, trial=8, epsilon=0.1 as entry already exists.
Skipping n=80000, coeff=11.0, trial=8, epsilon=0.125 as entry already exists.
Skipping n=80000, coeff=11.0, trial=8, epsilon=0.15 as entry already exists.
Skipping n=80000, coeff=11.0, trial=8, epsilon=0.175 as entry already exists.
Skipping n=80000, coeff=11.0, trial=8, epsilon=0.2 as entry already exists.
Skipping n=80000, coeff=11.0, trial=8, epsilon=0.225 as entry already exists.
Skipping n=80000, coeff=11.0, trial=8, epsilon=0.25 as entry already exists.
Skipping n=80000, coeff=11.0, trial=9, epsilon=0.025 as entry already exists.
Skipping n=80000, coeff=11.0, trial=9, epsilon=0.05 as entry already exists.
Skipping n=80000, coeff=11.0, trial=9, epsilon=0.075 as entry already exists.
Skipping n=80000, coeff=11.0, trial=9, epsilon=0.1 as entry already exists.
n=80000, coeff=11.0, trial=9, GT MIS=40000, Greedy MIS=39380, |S|=78953, Oracle MIS=39037, Improvement=-343
n=80000, coeff=11.0, trial=9, GT MIS=40000, Greedy MIS=39380, |S|=72171, Oracle MIS=40000, Improvement=620
n=80000, coeff=11.0, trial=9, GT MIS=40000, Greedy MIS=39380, |S|=57369, Oracle MIS=40000, Improvement=620
n=80000, coeff=11.0, trial=9, GT MIS=40000, Greedy MIS=39380, |S|=45102, Oracle MIS=40000, Improvement=620
n=80000, coeff=11.0, trial=9, GT MIS=40000, Greedy MIS=39380, |S|=40711, Oracle MIS=40000, Improvement=620
n=80000, coeff=11.0, trial=9, GT MIS=40000, Greedy MIS=39380, |S|=40047, Oracle MIS=40000, Improvement=620
Results saved to bipartite_experiment_results_epislons_80000.csv
