Coefficient,Nodes,Trial,Epsilon,Seed,GroundTruth_MIS,Greedy_MIS,Size_S,Oracle_MIS,Improvement
15.0,75000,0,0.025,0,37500,36304,75000,36304,0
15.0,75000,0,0.05,0,37500,36304,75000,36304,0
15.0,75000,0,0.075,0,37500,36304,75000,36304,0
15.0,75000,0,0.1,0,37500,36304,74887,36876,572
15.0,75000,0,0.125,0,37500,36304,72507,37500,1196
15.0,75000,0,0.15,0,37500,36304,60883,37500,1196
15.0,75000,0,0.175,0,37500,36304,44975,37500,1196
15.0,75000,0,0.2,0,37500,36304,38328,37500,1196
15.0,75000,0,0.225,0,37500,36304,37532,37500,1196
15.0,75000,0,0.25,0,37500,36304,37501,37500,1196
15.0,75000,1,0.025,42,37500,36731,75000,36731,0
15.0,75000,1,0.05,42,37500,36731,75000,36731,0
15.0,75000,1,0.075,42,37500,36731,75000,36731,0
14.0,75000,0,0.025,0,37500,36540,75000,36540,0
15.0,75000,1,0.1,42,37500,36731,74884,36731,0
14.0,75000,0,0.05,0,37500,36540,75000,36540,0
15.0,75000,1,0.125,42,37500,36731,72730,37409,678
14.0,75000,0,0.075,0,37500,36540,75000,36540,0
15.0,75000,1,0.15,42,37500,36731,61483,37500,769
14.0,75000,0,0.1,0,37500,36540,74915,36459,-81
15.0,75000,1,0.175,42,37500,36731,45548,37500,769
14.0,75000,0,0.125,0,37500,36540,72977,37455,915
15.0,75000,1,0.2,42,37500,36731,38475,37500,769
14.0,75000,0,0.15,0,37500,36540,62470,37500,960
15.0,75000,1,0.225,42,37500,36731,37543,37500,769
14.0,75000,0,0.175,0,37500,36540,46698,37500,960
15.0,75000,1,0.25,42,37500,36731,37499,37499,768
14.0,75000,0,0.2,0,37500,36540,38805,37500,960
14.0,75000,0,0.225,0,37500,36540,37576,37500,960
15.0,75000,2,0.025,84,37500,37147,75000,37147,0
14.0,75000,0,0.25,0,37500,36540,37502,37500,960
15.0,75000,2,0.05,84,37500,37147,75000,37147,0
14.0,75000,1,0.025,42,37500,36750,75000,36750,0
15.0,75000,2,0.075,84,37500,37147,74999,37146,-1
14.0,75000,1,0.05,42,37500,36750,75000,36750,0
15.0,75000,2,0.1,84,37500,37147,74890,37038,-109
14.0,75000,1,0.075,42,37500,36750,75000,36750,0
15.0,75000,2,0.125,84,37500,37147,72606,37453,306
14.0,75000,1,0.1,42,37500,36750,74913,36750,0
15.0,75000,2,0.15,84,37500,37147,61273,37500,353
14.0,75000,1,0.125,42,37500,36750,73171,37234,484
15.0,75000,2,0.175,84,37500,37147,45385,37500,353
14.0,75000,1,0.15,42,37500,36750,63098,37500,750
15.0,75000,2,0.2,84,37500,37147,38511,37500,353
14.0,75000,1,0.175,42,37500,36750,47317,37500,750
15.0,75000,2,0.225,84,37500,37147,37551,37500,353
14.0,75000,1,0.2,42,37500,36750,38989,37500,750
15.0,75000,2,0.25,84,37500,37147,37501,37500,353
14.0,75000,1,0.225,42,37500,36750,37578,37500,750
15.0,75000,3,0.025,126,37500,37194,75000,37194,0
14.0,75000,1,0.25,42,37500,36750,37499,37499,749
15.0,75000,3,0.05,126,37500,37194,75000,37194,0
14.0,75000,2,0.025,84,37500,37228,75000,37228,0
15.0,75000,3,0.075,126,37500,37194,74999,37193,-1
14.0,75000,2,0.05,84,37500,37228,75000,37228,0
15.0,75000,3,0.1,126,37500,37194,74911,37054,-140
14.0,75000,2,0.075,84,37500,37228,75000,37228,0
15.0,75000,3,0.125,126,37500,37194,72833,37301,107
14.0,75000,2,0.1,84,37500,37228,74907,37135,-93
13.0,75000,0,0.025,0,37500,37115,75000,37115,0
15.0,75000,3,0.15,126,37500,37194,61566,37500,306
14.0,75000,2,0.125,84,37500,37228,73119,37371,143
13.0,75000,0,0.05,0,37500,37115,75000,37115,0
15.0,75000,3,0.175,126,37500,37194,45558,37500,306
14.0,75000,2,0.15,84,37500,37228,62946,37500,272
13.0,75000,0,0.075,0,37500,37115,74999,37114,-1
15.0,75000,3,0.2,126,37500,37194,38467,37500,306
14.0,75000,2,0.175,84,37500,37228,47186,37500,272
13.0,75000,0,0.1,0,37500,37115,74911,37027,-88
15.0,75000,3,0.225,126,37500,37194,37541,37500,306
14.0,75000,2,0.2,84,37500,37228,39034,37500,272
13.0,75000,0,0.125,0,37500,37115,73329,37377,262
15.0,75000,3,0.25,126,37500,37194,37500,37500,306
14.0,75000,2,0.225,84,37500,37228,37596,37500,272
13.0,75000,0,0.15,0,37500,37115,64200,37500,385
14.0,75000,2,0.25,84,37500,37228,37504,37500,272
15.0,75000,4,0.025,168,37500,36677,75000,36677,0
13.0,75000,0,0.175,0,37500,37115,48705,37500,385
14.0,75000,3,0.025,126,37500,37127,75000,37127,0
15.0,75000,4,0.05,168,37500,36677,75000,36677,0
13.0,75000,0,0.2,0,37500,37115,39515,37500,385
14.0,75000,3,0.05,126,37500,37127,75000,37127,0
15.0,75000,4,0.075,168,37500,36677,74999,36677,0
13.0,75000,0,0.225,0,37500,37115,37646,37500,385
14.0,75000,3,0.075,126,37500,37127,74999,37126,-1
15.0,75000,4,0.1,168,37500,36677,74927,36677,0
13.0,75000,0,0.25,0,37500,37115,37504,37500,385
14.0,75000,3,0.1,126,37500,37127,74935,37062,-65
15.0,75000,4,0.125,168,37500,36677,72815,37405,728
13.0,75000,1,0.025,42,37500,36949,75000,36949,0
12.0,75000,0,0.025,0,37500,36677,75000,36677,0
14.0,75000,3,0.125,126,37500,37127,73206,37319,192
11.0,75000,0,0.025,0,37500,36048,75000,36048,0
10.0,75000,0,0.025,0,37500,37105,75000,37105,0
