Coefficient,Nodes,Trial,Epsilon,Seed,GroundTruth_MIS,Greedy_MIS,Size_S,Oracle_MIS,Improvement
1,65000,4,0.125,168,32651,32651,64726,32650,-1
8,65000,6,0.25,252,32500,31933,32935,32499,566
1,65000,4,0.15,168,32651,32651,64038,32641,-10
8,65000,7,0.025,294,32500,32126,65000,32126,0
8,65000,7,0.05,294,32500,32126,65000,32126,0
1,65000,4,0.175,168,32651,32651,62265,32611,-40
8,65000,7,0.075,294,32500,32126,64999,32125,-1
1,65000,4,0.2,168,32651,32651,60529,32602,-49
8,65000,7,0.1,294,32500,32126,64978,32106,-20
8,65000,7,0.125,294,32500,32126,64611,31346,-780
1,65000,4,0.225,168,32651,32651,57203,32568,-83
8,65000,7,0.15,294,32500,32126,61804,32405,279
1,65000,4,0.25,168,32651,32651,52935,32508,-143
8,65000,7,0.175,294,32500,32126,53435,32500,374
8,65000,7,0.2,294,32500,32126,42168,32500,374
1,65000,5,0.025,210,32635,32635,65000,32635,0
8,65000,7,0.225,294,32500,32126,35244,32500,374
8,65000,7,0.25,294,32500,32126,32956,32499,373
1,65000,5,0.05,210,32635,32635,64996,32634,-1
8,65000,8,0.025,336,32500,31720,65000,31720,0
1,65000,5,0.075,210,32635,32635,64981,32635,0
8,65000,8,0.05,336,32500,31720,65000,31720,0
8,65000,8,0.075,336,32500,31720,64998,31718,-2
1,65000,5,0.1,210,32635,32635,64880,32631,-4
8,65000,8,0.1,336,32500,31720,64977,31676,-44
1,65000,5,0.125,210,32635,32635,64703,32632,-3
8,65000,8,0.125,336,32500,31720,64559,31811,91
8,65000,8,0.15,336,32500,31720,61778,32466,746
1,65000,5,0.15,210,32635,32635,64045,32620,-15
8,65000,8,0.175,336,32500,31720,53642,32500,780
8,65000,8,0.2,336,32500,31720,42393,32500,780
1,65000,5,0.175,210,32635,32635,62322,32596,-39
8,65000,8,0.225,336,32500,31720,35295,32500,780
1,65000,5,0.2,210,32635,32635,60471,32600,-35
8,65000,8,0.25,336,32500,31720,32950,32499,779
8,65000,9,0.025,378,32500,30430,65000,30430,0
1,65000,5,0.225,210,32635,32635,57209,32552,-83
8,65000,9,0.05,378,32500,30430,65000,30430,0
1,65000,5,0.25,210,32635,32635,53012,32490,-145
8,65000,9,0.075,378,32500,30430,65000,30430,0
8,65000,9,0.1,378,32500,30430,64972,32051,1621
1,65000,6,0.025,252,32642,32642,65000,32642,0
8,65000,9,0.125,378,32500,30430,64556,32051,1621
8,65000,9,0.15,378,32500,30430,61636,32386,1956
1,65000,6,0.05,252,32642,32642,64996,32642,0
8,65000,9,0.175,378,32500,30430,53220,32500,2070
1,65000,6,0.075,252,32642,32642,64979,32642,0
8,65000,9,0.2,378,32500,30430,41886,32500,2070
8,65000,9,0.225,378,32500,30430,35051,32500,2070
1,65000,6,0.1,252,32642,32642,64901,32642,0
