threshold,rmse
0.0,0.7456999236075971
0.05,0.7407549856180171
0.1,0.7259535432853449
0.15,0.7179029289427752
0.2,0.7203987499811191
0.25,0.7308816827558576
0.3,0.7672795766328911
0.35,0.8178562764256865
0.4,0.9067647005823629
0.45,1.0920066998323008
0.5,1.283491498744899
0.55,1.60469396927973
0.6,2.0751686163598335
0.65,2.6881506368047616
0.7,3.3998240276231093
0.75,4.205165728412949
0.8,5.042757351826648
0.85,5.982952991268316
0.9,6.968193919210809
0.95,7.943733755791793
1.0,8.43338907450921
