threshold,rmse
1.0,8.956560363497449
0.95,8.467608684002634
0.9,7.1052089841886215
0.85,5.652912813799915
0.8,4.479568549708151
0.75,3.725164674460963
0.7,2.7745775215842183
0.65,2.3587897084922362
0.6,2.1723673478902903
0.55,2.075110757546367
0.5,2.0353359900990777
0.45,2.0120010308516614
0.3,0.9040619681902576
0.35,0.9165584351689559
0.25,0.8894591424779252
0.15,0.8658726521466362
0.0,0.8579691784155834
0.2,0.8702155665552831
0.4,0.9182165829049773
0.05,0.8592786441892922
0.1,0.8616613705280732
